Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,713.00,718.45,705.00,707.80,712.114974673273410482,253882,3935,180793174.00,35174,13.85,13.45,-5.20
25-August-2021,731.80,731.80,710.00,711.10,716.813733158538331882,90773,3718,65067333.00,22798,25.12,21.80,-20.70
24-August-2021,703.55,733.00,703.55,724.05,723.254759612465631044,230586,8169,166772422.00,48686,21.11,29.45,20.50
23-August-2021,720.00,721.50,690.20,696.50,701.626907652385359391,110214,5461,77329108.00,32259,29.27,31.30,-23.50
20-August-2021,720.00,728.55,707.00,714.35,717.253910554561717352,69875,4584,50118117.00,18697,26.76,21.55,-5.65
18-August-2021,748.90,748.90,718.85,725.60,728.193885823891162919,50571,2138,36825493.00,12714,25.14,30.05,-23.30
17-August-2021,740.95,742.00,723.20,732.25,733.181758650496372161,38177,2057,27990680.00,15134,39.64,18.80,-8.70
16-August-2021,765.00,765.00,733.60,737.50,747.784984804307246108,129642,4625,96944341.00,21548,16.62,31.40,-27.50
13-August-2021,749.50,751.50,732.30,737.70,739.938082798756695985,60484,3506,44754415.00,14029,23.19,19.20,-11.80
12-August-2021,729.95,745.75,725.40,742.15,739.388137540882170953,79191,3173,58552886.00,12748,16.10,20.35,12.20
11-August-2021,723.90,728.60,703.15,724.35,716.619541033627868539,125848,5480,90185136.00,42673,33.91,25.45,0.45
10-August-2021,731.90,735.45,711.00,720.10,722.287766573386085110,82904,3213,59880545.00,11662,14.07,24.45,-11.80
9-August-2021,740.00,756.30,706.00,722.55,730.425343654162585073,156189,6446,114084404.00,27916,17.87,50.30,-17.45
6-August-2021,785.00,785.00,734.00,737.15,755.696021503362241744,320322,13264,242066061.00,93615,29.23,51.00,-47.85
5-August-2021,774.50,782.80,759.80,772.25,773.573546527739289475,216516,6654,167491050.00,33172,15.32,23.00,-2.25
4-August-2021,763.20,786.65,761.00,770.45,773.447106660597784858,164775,5882,127444747.00,29343,17.81,25.65,7.25
3-August-2021,759.65,765.90,744.75,763.80,755.857638476841995043,143255,6907,108280386.00,53785,37.54,21.15,4.15
2-August-2021,721.00,760.65,720.70,754.65,744.899881159961805123,385392,13164,287078455.00,96268,24.98,39.95,33.65
30-July-2021,716.40,719.65,704.30,715.60,710.513779850868836842,30443,1676,21630171.00,7421,24.38,15.35,-0.80
29-July-2021,710.00,716.35,702.85,705.80,709.720887935456792426,42886,1584,30437090.00,11742,27.38,13.50,-4.20
28-July-2021,696.00,712.15,696.00,705.20,705.847343241500322440,133358,5366,94130390.00,16265,12.20,16.15,9.20
27-July-2021,717.05,724.00,687.60,694.70,694.874333742162515331,348964,6609,242486127.00,73498,21.06,36.40,-22.35
26-July-2021,731.65,731.70,712.50,715.60,718.729789795351421427,86392,3317,62092504.00,20502,23.73,19.20,-16.05
23-July-2021,718.00,742.00,716.60,730.55,733.831900757329368582,279799,7554,205325432.00,30164,10.78,25.40,12.55
22-July-2021,719.00,723.00,710.95,716.80,716.400234575926292287,141532,6735,101393558.00,46054,32.54,12.05,-2.20
20-July-2021,687.00,718.00,682.50,710.95,707.854014175387655515,396744,10865,280836833.00,54368,13.70,35.50,23.95
19-July-2021,680.35,690.00,671.65,684.40,684.298157594001728126,35877,1616,24550565.00,6094,16.99,18.35,4.05
16-July-2021,685.00,685.00,675.80,680.35,679.973502945745522759,34117,1675,23198656.00,11695,34.28,9.20,-4.65
15-July-2021,687.75,687.75,674.30,677.75,679.576284498745500163,45835,1826,31148379.00,13338,29.10,13.45,-10.00
14-July-2021,684.00,693.00,675.35,682.35,683.572577881198477551,166311,5020,113685639.00,57487,34.57,17.65,-1.65
13-July-2021,684.90,686.95,678.55,680.40,683.065354834126589472,28154,1307,19231022.00,6646,23.61,8.40,-4.50
12-July-2021,679.00,692.00,677.00,681.65,685.288627555232192077,142942,5191,97956527.00,47465,33.21,15.00,2.65
9-July-2021,669.00,681.60,669.00,679.80,677.182399720353054268,57215,2037,38744991.00,13525,23.64,12.60,10.80
8-July-2021,675.00,683.75,667.00,672.10,676.444003579952267303,134080,4476,90697612.00,32771,24.44,16.75,-2.90
7-July-2021,670.00,676.65,666.20,672.20,669.787282214938761428,46376,1656,31062055.00,8924,19.24,10.45,2.20
6-July-2021,672.00,685.00,663.95,669.55,675.693955529122645585,178229,4415,120428258.00,21639,12.14,21.05,-2.45
5-July-2021,670.00,671.50,656.05,666.45,662.673888228853635241,85854,3301,56893204.00,17838,20.78,15.45,-3.55
2-July-2021,673.20,676.80,661.00,665.00,667.899372316760417699,70577,2982,47138334.00,11625,16.47,15.80,-8.20
1-July-2021,666.90,677.95,659.00,674.65,669.383801065719360568,140750,4553,94215770.00,39639,28.16,18.95,7.75
30-June-2021,668.95,671.15,656.60,660.55,661.758839956603849399,99548,5181,65876769.00,15379,15.45,14.55,-8.40
29-June-2021,676.00,683.00,658.50,662.30,669.429959552840301682,272207,10304,182223521.00,47077,17.29,24.50,-13.70
28-June-2021,646.00,678.15,646.00,671.70,664.087908080360440209,216624,6604,143857379.00,29162,13.46,32.15,25.70
25-June-2021,668.95,668.95,637.20,642.80,644.086758098100919011,127746,4432,82279507.00,34423,26.95,31.75,-26.15
24-June-2021,659.75,659.75,644.00,654.40,650.327969439955917285,134293,3802,87334494.00,11094,8.26,15.75,-5.35
23-June-2021,681.00,681.00,650.50,652.70,665.702001275093688286,192927,7585,128431890.00,36212,18.77,30.50,-28.30
22-June-2021,694.00,704.30,667.40,672.60,687.524273450151349847,495871,17268,340923349.00,64284,12.96,36.90,-21.40
21-June-2021,646.95,687.00,639.85,678.25,661.025308768251208223,469284,7944,310208601.00,64324,13.71,47.15,31.30
18-June-2021,668.65,673.15,636.00,657.90,651.055191931492098928,354762,12632,230969642.00,56689,15.98,37.15,-10.75
17-June-2021,636.85,674.80,626.05,659.90,662.212767506918390614,796428,20869,527404790.00,77017,9.67,48.75,23.05
16-June-2021,654.70,657.40,633.70,636.45,646.463486574874497469,240035,7895,155173863.00,43378,18.07,23.70,-18.25
15-June-2021,608.80,655.00,607.00,648.40,640.903841970320876388,772260,29199,494944401.00,99701,12.91,48.00,39.60
14-June-2021,605.00,609.85,585.70,601.30,600.895813343942336945,85462,4476,51353758.00,27238,31.87,24.15,-3.70
11-June-2021,619.90,623.65,599.15,604.20,612.455728230075652892,158487,7158,97066271.00,27624,17.43,24.50,-15.70
10-June-2021,602.00,617.50,599.90,612.60,611.662004996697584929,139292,6232,85199624.00,48846,35.07,17.60,10.60
9-June-2021,601.80,617.00,593.00,595.80,604.857394533853918674,105010,4227,63516075.00,21732,20.70,24.00,-6.00
8-June-2021,609.50,614.95,595.00,598.30,600.820987382951598012,90988,2960,54667500.00,24324,26.73,19.95,-11.20
7-June-2021,599.80,616.80,595.00,607.00,609.473690300862613086,285180,10740,173809707.00,83776,29.38,21.80,7.20
4-June-2021,581.40,596.00,572.95,590.15,588.203541860402127102,221522,7026,130300025.00,42329,19.11,23.05,8.75
3-June-2021,570.05,584.20,560.70,580.75,575.451023929439334662,357593,12675,205777258.00,121896,34.09,23.50,10.70
2-June-2021,552.00,578.00,544.25,566.70,568.091632395658862048,1083034,30060,615262553.00,117823,10.88,33.75,14.70
1-June-2021,541.00,547.95,534.95,540.20,540.271157434948782097,245422,8302,132594428.00,79655,32.46,13.00,-0.80
31-May-2021,514.80,539.55,508.55,536.35,529.069503220531064855,278836,8229,147523624.00,130752,46.89,31.00,21.55
28-May-2021,519.80,519.80,510.00,511.05,513.800753073538084652,22043,1256,11325710.00,10953,49.69,9.80,-8.75
27-May-2021,518.85,519.00,511.55,512.75,514.068819353504721207,29018,925,14917249.00,10780,37.15,7.45,-6.10
26-May-2021,518.00,520.45,511.00,513.65,516.032546516529174444,33214,1675,17139505.00,9297,27.99,9.45,-4.35
25-May-2021,527.90,530.25,514.10,515.10,523.221336780282114351,79684,3216,41692369.00,22294,27.98,16.15,-12.80
