Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,206.90,206.90,204.50,204.70,205.504544834075164657,820492,14979,168614835.00,457255,55.73,2.40,-2.20
25-August-2021,206.00,207.85,206.00,206.40,207.055112999712219643,326638,3403,67632068.00,120341,36.84,1.85,0.40
24-August-2021,206.40,207.00,204.75,205.70,205.732432632397336952,824469,14313,169620013.00,423738,51.40,2.25,-0.70
23-August-2021,209.10,210.20,206.00,206.35,207.734897584447688465,983005,14050,204204443.00,521761,53.08,4.20,-2.75
20-August-2021,207.50,210.60,206.70,209.05,208.495088342085300377,678895,6323,141546273.00,217309,32.01,3.90,1.55
18-August-2021,210.20,211.45,208.35,208.95,209.396471168009996202,742682,10076,155514990.00,366759,49.38,3.10,-1.25
17-August-2021,210.40,211.45,208.75,209.20,209.693329120362521000,908306,10783,190465709.00,514730,56.67,2.70,-1.20
16-August-2021,211.80,213.30,210.50,210.90,211.907568176432812601,582386,5931,123412001.00,250513,43.01,2.80,-0.90
13-August-2021,209.90,212.25,209.20,211.30,211.295013183909682558,1664529,15731,351706677.00,860160,51.68,3.05,1.40
12-August-2021,210.00,214.20,208.40,208.90,210.369771909760359931,1324695,14370,278675785.00,492446,37.17,5.80,-1.10
11-August-2021,210.00,210.55,207.50,208.65,208.735410623430047211,452641,4792,94482205.00,205373,45.37,3.05,-1.35
10-August-2021,214.00,214.35,208.60,209.80,211.451240244625986947,525864,5454,111194595.00,220085,41.85,5.75,-4.20
9-August-2021,214.70,217.15,212.65,213.75,215.032456801631009985,1615686,18885,347424930.00,961692,59.52,4.50,-0.95
6-August-2021,215.00,216.00,212.70,214.35,214.158523641456916066,1008102,8073,215893636.00,319523,31.70,3.30,-0.65
5-August-2021,208.60,216.70,206.85,215.15,213.580750725353167072,4942420,45189,1055605774.00,3605168,72.94,9.85,6.55
4-August-2021,210.85,211.10,208.15,208.60,209.368197201695376980,407461,4558,85309375.00,189178,46.43,2.95,-2.25
3-August-2021,207.20,210.85,206.65,209.80,209.385151397187008107,590830,6686,123711029.00,232631,39.37,4.20,2.60
2-August-2021,206.10,207.45,205.55,207.25,206.523406612648387285,976583,13190,201687248.00,657999,67.38,1.90,1.15
30-July-2021,206.45,207.15,204.65,205.00,205.863654316609101131,496246,6026,102159015.00,246592,49.69,2.50,-1.45
29-July-2021,210.00,210.15,205.75,206.00,207.642349560618077294,1070481,15767,222277190.00,522652,48.82,4.40,-4.00
28-July-2021,209.00,210.00,207.45,209.15,208.319019971196789667,1167231,7677,243156418.00,733801,62.87,2.55,0.15
27-July-2021,212.00,213.00,208.00,208.65,210.211522149398639596,927813,8524,195036983.00,372881,40.19,5.00,-3.35
26-July-2021,215.80,215.80,210.80,211.10,213.534423676658427749,14467920,19676,3089398959.00,12910350,89.23,5.00,-4.70
23-July-2021,207.30,213.60,206.45,212.35,210.838125798372055638,4628168,50724,975794267.00,3493038,75.47,7.15,5.05
22-July-2021,207.00,208.25,205.90,207.05,207.146119157223223268,618242,6092,128066431.00,224053,36.24,2.35,0.05
20-July-2021,208.20,209.25,206.30,206.80,207.945063914991459677,2528593,22552,525808433.00,1459582,57.72,2.95,-1.40
19-July-2021,207.35,209.50,206.55,207.80,207.985355159075395178,1867825,7023,388480246.00,1498391,80.22,2.95,0.45
16-July-2021,207.60,209.70,207.20,207.90,208.450740712147336095,1165770,10915,243005620.00,420223,36.05,2.50,0.30
15-July-2021,204.90,208.45,202.90,206.20,206.205995265564018286,2727252,27217,562375713.00,1652672,60.60,5.55,1.30
14-July-2021,201.60,205.15,201.60,204.15,203.466840087623220153,876480,7042,178334616.00,401617,45.82,3.55,2.55
13-July-2021,201.60,202.25,201.40,201.85,201.733824896387361005,715405,13555,144321387.00,455100,63.61,0.85,0.25
12-July-2021,202.00,202.60,201.00,201.15,201.504522457988934786,2294217,21070,462295101.00,1835929,80.02,1.60,-0.85
9-July-2021,202.00,202.35,200.85,201.40,201.632777643479728342,1096235,21288,221036908.00,691340,63.06,1.50,-0.60
8-July-2021,203.75,204.20,201.85,202.05,202.569342886637979496,489185,6970,99093884.00,298154,60.95,2.35,-1.70
7-July-2021,202.55,205.10,202.30,203.70,203.899332002506605681,1238328,14466,252494252.00,715759,57.80,2.80,1.15
6-July-2021,203.25,203.80,202.30,202.55,203.180684845053690589,430988,5776,87568437.00,258975,60.09,1.50,-0.70
5-July-2021,202.65,204.10,202.65,203.60,203.284405521819835174,1119486,18392,227574046.00,823229,73.54,1.45,0.95
2-July-2021,203.90,203.90,202.25,202.40,202.720228805131976570,1034767,22166,209768203.00,690922,66.77,1.65,-1.50
1-July-2021,203.00,203.75,202.10,203.00,203.018304411726787509,775660,15242,157473178.00,452682,58.36,1.65,0.00
30-June-2021,204.00,204.40,202.50,202.75,203.289925233905586882,1147044,23423,233182489.00,614812,53.60,1.90,-1.25
29-June-2021,204.40,205.30,203.20,203.35,204.006496258433695386,1005194,17103,205066106.00,482301,47.98,2.10,-1.05
28-June-2021,206.00,206.00,203.40,203.65,204.256461064645207867,520812,6941,106379216.00,309073,59.34,2.60,-2.35
25-June-2021,203.75,205.55,203.20,205.05,204.666591545842332808,1109324,14218,227041562.00,655422,59.08,2.35,1.30
24-June-2021,204.05,204.65,202.60,203.35,203.255855802386092639,1213113,25362,246572321.00,697162,57.47,2.05,-0.70
23-June-2021,205.90,205.90,203.65,204.05,204.743067805937453232,848613,6464,173747629.00,260417,30.69,2.25,-1.85
22-June-2021,205.50,206.40,204.35,205.05,205.137852429929260973,1155939,18156,237126844.00,564226,48.81,2.05,-0.45
21-June-2021,203.00,206.00,202.45,204.55,204.576892828563763805,1308399,22713,267668202.00,632821,48.37,3.55,1.55
18-June-2021,206.50,206.50,202.50,204.60,204.123337365427351615,827527,11410,168917573.00,436784,52.78,4.00,-1.90
17-June-2021,207.20,208.00,205.05,205.50,206.075569950660987556,2680232,30909,552330337.00,1927993,71.93,2.95,-1.70
16-June-2021,207.40,209.25,207.20,207.85,208.316257558522421121,1670300,18391,347950645.00,988677,59.19,2.05,0.45
15-June-2021,208.00,208.40,207.00,207.10,207.605083951565293138,968892,7672,201146905.00,321476,33.18,1.40,-0.90
14-June-2021,208.00,208.45,205.15,207.25,206.691712761802536640,1840939,33740,380506835.00,942750,51.21,3.30,-0.75
11-June-2021,210.00,210.45,207.75,207.95,208.722755522950002768,1733856,31199,361895202.00,1038428,59.89,2.70,-2.05
10-June-2021,208.90,211.40,207.60,209.40,209.395806227997189643,1066057,13118,223227865.00,490020,45.97,3.80,0.50
9-June-2021,214.10,214.75,211.50,212.40,213.352969694263849991,2060633,23425,439642170.00,1075455,52.19,3.25,-1.70
8-June-2021,212.00,214.10,211.10,213.65,212.650743419332863332,2019856,24071,429523880.00,1243273,61.55,3.00,1.65
7-June-2021,210.15,212.35,210.15,211.45,210.651883532166468384,4170834,30508,878594038.00,2906600,69.69,2.20,1.30
4-June-2021,209.85,209.85,208.00,208.80,208.556761669797175011,1752644,28770,365525757.00,1001386,57.14,1.85,-1.05
3-June-2021,210.50,210.80,208.75,209.10,209.567534126703726396,2012427,27562,421739364.00,1005950,49.99,2.05,-1.40
2-June-2021,211.10,212.50,208.70,209.00,210.023046264908775451,2494504,25023,523903329.00,1117483,44.80,3.80,-2.10
1-June-2021,218.45,219.35,214.20,215.20,216.689492078267606175,1325657,11701,287255942.00,488681,36.86,5.15,-3.25
31-May-2021,215.50,217.95,214.40,216.60,216.732381947035309100,2404281,19074,521085548.00,731716,30.43,3.55,1.10
28-May-2021,212.05,213.45,211.45,212.85,212.700656939645332381,1804732,18059,383867682.00,1007225,55.81,2.00,0.80
27-May-2021,211.45,214.15,210.25,211.20,212.140235658172877903,1270654,9681,269556839.00,418313,32.92,3.90,-0.25
26-May-2021,210.80,212.45,210.35,210.55,211.297396257946729718,491869,5878,103930639.00,221561,45.04,2.10,-0.25
25-May-2021,213.60,213.60,210.30,210.85,211.941886815925673029,707361,7925,149919425.00,275312,38.92,3.30,-2.75
24-May-2021,210.00,212.00,207.80,211.50,209.794745038740153409,773745,8092,162327635.00,312400,40.38,4.20,1.50
21-May-2021,208.35,209.85,207.40,209.05,208.873970727973821870,616698,6462,128812160.00,190881,30.95,2.45,0.70
20-May-2021,209.90,209.90,206.85,207.00,207.672126229645711328,703353,7752,146066813.00,322421,45.84,3.05,-2.90
19-May-2021,210.05,211.35,207.50,207.75,208.573870264299351988,840108,8844,175224577.00,365279,43.48,3.85,-2.30
18-May-2021,214.00,214.65,209.65,210.05,211.408364407660184525,952823,10075,201434752.00,379256,39.80,5.00,-3.95
17-May-2021,216.55,217.00,211.60,212.55,213.727772689514153656,2816940,31501,602058312.00,987587,35.06,5.40,-4.00
14-May-2021,204.50,213.05,204.10,212.35,210.325576291532078391,6306270,52373,1326369872.00,3073382,48.74,8.95,7.85
12-May-2021,203.50,205.20,202.85,203.30,203.739911677308056044,1190634,18587,242579666.00,512656,43.06,2.35,-0.20
11-May-2021,204.00,206.50,203.80,204.05,204.931036462671781107,1166892,17671,239132387.00,508361,43.57,2.70,0.05
10-May-2021,206.00,207.35,204.90,205.55,205.834367910106232777,1232388,16927,253667805.00,655713,53.21,2.45,-0.45
7-May-2021,202.75,206.40,202.75,205.35,205.395777007663957631,1727306,19313,354781358.00,1114994,64.55,3.65,2.60
6-May-2021,202.40,205.95,202.15,202.75,203.699474342996809848,1469209,16367,299277101.00,673246,45.82,3.80,0.35
5-May-2021,199.60,202.05,199.45,201.55,200.426663542120004910,448065,5390,89804173.00,193270,43.13,2.60,1.95
4-May-2021,201.80,202.40,199.10,199.55,200.612568049867600861,1459224,31416,292738674.00,847552,58.08,3.30,-2.25
3-May-2021,201.80,201.85,200.00,200.95,200.927886503458453591,1545633,34753,310560772.00,878440,56.83,1.85,-0.85
30-April-2021,204.00,205.60,202.10,202.70,203.809098209745012585,1242728,27111,253279273.00,653756,52.61,3.50,-1.30
29-April-2021,206.70,207.50,204.05,204.35,205.485972264690540856,1111940,17711,228488072.00,522761,47.01,3.45,-2.35
28-April-2021,206.00,206.50,205.30,205.55,206.011503287144503743,872794,12798,179805604.00,411409,47.14,1.20,-0.45
27-April-2021,205.45,206.95,205.20,205.65,205.859467668235006982,368755,4512,75911708.00,183403,49.74,1.75,0.20
26-April-2021,206.00,206.80,204.75,205.30,205.708749746052493091,408549,5131,84042104.00,137464,33.65,2.05,-0.70
23-April-2021,204.65,207.00,204.15,205.35,205.910978809983468781,432515,4612,89059587.00,121602,28.12,2.85,0.70
