Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,401.00,401.00,391.15,397.75,396.285591112584977615,120620,1573,47799968.00,59579,49.39,9.85,-3.25
25-August-2021,396.00,399.35,393.60,396.70,396.715313768857491829,90879,2044,36053091.00,38386,42.24,5.75,0.70
24-August-2021,394.00,396.00,386.65,395.35,393.011200936554908783,768775,2953,302137186.00,324575,42.22,9.35,1.35
23-August-2021,396.90,397.00,381.50,390.45,390.558845443648968220,154345,2802,60280805.00,24626,15.96,15.50,-6.45
20-August-2021,409.40,413.55,390.10,391.55,400.570141156455918496,510214,4232,204376494.00,325698,63.84,23.45,-17.85
18-August-2021,402.60,410.95,401.10,409.25,406.611059367707232332,191114,3194,77709066.00,39070,20.44,9.85,6.65
17-August-2021,396.65,402.75,392.25,401.20,397.175102189712746354,106909,3179,42461593.00,37428,35.01,10.50,4.55
16-August-2021,401.40,404.30,395.50,396.25,398.699215573103864417,76234,3288,30394436.00,30420,39.90,8.80,-5.15
13-August-2021,402.90,404.60,396.25,402.55,401.056762961972270518,179448,4418,71968834.00,73110,40.74,8.35,-0.35
12-August-2021,398.65,408.00,395.90,400.00,401.270476334264361742,185458,4946,74418820.00,43466,23.44,12.10,1.35
11-August-2021,400.55,404.95,391.90,398.25,396.842846624815934278,103224,2684,40963706.00,28781,27.88,13.05,-2.30
10-August-2021,408.00,408.00,395.35,400.55,401.118463198791279948,115825,4624,46459546.00,42396,36.60,12.65,-7.45
9-August-2021,410.75,410.75,403.10,405.45,406.443115009867435396,96783,2527,39336784.00,21650,22.37,7.65,-5.30
6-August-2021,421.00,421.00,402.40,403.85,407.451555930666916740,191943,5101,78207474.00,56391,29.38,18.60,-17.15
5-August-2021,415.15,421.35,414.90,418.85,418.362016744785968468,86833,2182,36327629.00,42353,48.78,6.45,3.70
4-August-2021,424.00,427.20,418.10,419.00,423.213305016727159082,140789,3185,59583778.00,47471,33.72,9.10,-5.00
3-August-2021,420.00,422.95,414.50,421.95,419.573016684903302665,154451,4310,64803472.00,60902,39.43,8.45,1.95
2-August-2021,411.05,419.50,410.75,418.30,416.122627805087798812,86049,2235,35806936.00,23130,26.88,8.75,7.25
30-July-2021,410.00,415.00,406.10,411.05,411.243822947500805202,130402,3732,53627017.00,60381,46.30,8.90,1.05
29-July-2021,412.00,412.85,405.20,408.90,408.802895259258048967,122407,2450,50040336.00,28430,23.23,7.65,-3.10
28-July-2021,410.00,411.70,403.00,409.35,407.739996777485364412,93095,1965,37958555.00,30722,33.00,8.70,-0.65
27-July-2021,410.00,413.90,401.55,408.80,408.802513911719020976,265244,4507,108432414.00,70847,26.71,12.35,-1.20
26-July-2021,405.00,409.25,391.25,408.00,402.800284847685612554,379150,7149,152721728.00,151642,40.00,18.00,3.00
23-July-2021,405.00,409.50,401.00,402.25,405.449665088288751772,295451,5484,119790509.00,51397,17.40,8.50,-2.75
22-July-2021,405.90,407.50,398.40,399.65,401.597510204451041261,220982,6122,88745821.00,70897,32.08,9.10,-6.25
20-July-2021,392.00,407.90,388.00,404.55,399.416463251048758392,831221,14276,332003352.00,143098,17.22,19.90,12.55
19-July-2021,382.00,388.35,380.50,385.90,383.177207103909264080,435197,2087,166757571.00,334627,76.89,7.85,3.90
