Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,1456.30,1458.40,1430.00,1439.65,1440.614103939904951709,32615,2008,46985629.00,7233,22.18,28.40,-16.65
25-August-2021,1474.00,1474.00,1446.00,1448.30,1455.976011102299762093,10088,734,14687886.00,2022,20.04,28.00,-25.70
24-August-2021,1458.00,1462.35,1443.00,1460.05,1452.665982304345700738,20457,1168,29717188.00,2919,14.27,19.35,2.05
23-August-2021,1485.00,1495.45,1432.10,1440.55,1460.550892158594755571,39623,2385,57871408.00,7529,19.00,63.35,-44.45
20-August-2021,1494.00,1501.90,1475.10,1483.35,1486.788443506797937177,34128,1571,50741116.00,12321,36.10,26.80,-10.65
18-August-2021,1478.00,1507.60,1478.00,1500.25,1491.189430468685421431,36293,1602,54119738.00,16162,44.53,29.60,22.25
17-August-2021,1498.00,1498.00,1460.05,1479.65,1477.059643305251837246,44632,2861,65924126.00,14392,32.25,37.95,-18.35
16-August-2021,1498.00,1524.35,1487.55,1491.50,1502.821690042192685489,59963,3060,90113697.00,11962,19.95,36.80,-6.50
13-August-2021,1501.00,1532.10,1486.00,1497.60,1508.175283565246973506,120519,6066,181763777.00,21678,17.99,46.10,-3.40
12-August-2021,1504.80,1515.00,1490.00,1492.35,1501.389126233343505238,19662,1282,29520313.00,3220,16.38,25.00,-12.45
11-August-2021,1480.10,1516.65,1480.00,1502.05,1501.250540861190592504,42987,2280,64534257.00,7767,18.07,36.65,21.95
10-August-2021,1516.00,1516.00,1478.50,1489.60,1496.079978343259339469,46175,3145,69081493.00,17535,37.98,37.50,-26.40
9-August-2021,1550.00,1550.00,1506.45,1512.80,1527.260554443159705575,35459,1494,54155132.00,10803,30.47,43.55,-37.20
6-August-2021,1551.80,1553.35,1520.60,1529.70,1536.536960000000000000,34375,1942,52818458.00,6927,20.15,32.75,-22.10
5-August-2021,1544.85,1551.00,1527.10,1537.40,1539.831922708399872245,25048,1616,38569710.00,4235,16.91,23.90,-7.45
4-August-2021,1593.95,1605.15,1538.35,1554.30,1567.130194790383650380,87684,3241,137412244.00,27367,31.21,66.80,-39.65
3-August-2021,1584.95,1599.85,1545.00,1591.30,1568.298594621216118762,56853,3016,89162480.00,7790,13.70,54.85,6.35
2-August-2021,1571.50,1614.35,1559.95,1591.55,1593.092722686623168164,95942,5111,152844502.00,15445,16.10,54.40,20.05
