Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,1473.00,1486.20,1449.35,1471.80,1470.712937722793038372,14307,1534,21041490.00,3924,27.43,36.85,-1.20
25-August-2021,1470.00,1481.05,1460.35,1464.40,1466.606550404083368779,14106,1892,20687952.00,8433,59.78,20.70,-5.60
24-August-2021,1499.95,1500.00,1451.90,1465.70,1469.953438966097193945,11297,1314,16606064.00,3641,32.23,48.10,-34.25
23-August-2021,1471.00,1489.00,1460.55,1484.85,1471.025013587627847225,1052428,987,1548147913.00,1048099,99.59,28.45,13.85
20-August-2021,1494.70,1494.70,1462.40,1471.00,1480.582790284360189573,13504,1500,19993790.00,3354,24.84,32.30,-23.70
18-August-2021,1446.00,1489.50,1446.00,1483.85,1474.220701981448953807,32451,4070,47839936.00,19681,60.65,43.50,37.85
17-August-2021,1464.50,1464.50,1435.65,1451.25,1446.490325740876806269,8166,1004,11812040.00,2816,34.48,28.85,-13.25
16-August-2021,1460.00,1462.55,1428.40,1439.65,1449.513789069028915259,11966,1236,17344882.00,4253,35.54,34.15,-20.35
13-August-2021,1467.00,1469.75,1439.90,1446.55,1453.217677446748283914,28262,3067,41070838.00,17378,61.49,29.85,-20.45
12-August-2021,1445.90,1459.30,1428.45,1450.05,1446.484471031713513070,12203,1204,17651450.00,3925,32.16,30.85,4.15
11-August-2021,1443.75,1447.35,1409.20,1441.05,1423.166871165644171779,11410,1400,16238334.00,4717,41.34,38.15,-2.70
10-August-2021,1444.55,1455.10,1421.00,1435.60,1440.346773297789625680,9003,1082,12967442.00,2176,24.17,34.10,-8.95
9-August-2021,1450.05,1458.55,1420.65,1438.20,1439.264948859166011014,15252,1335,21951669.00,3205,21.01,37.90,-11.85
6-August-2021,1445.50,1456.85,1440.50,1445.45,1446.686125654450261780,7640,1337,11052682.00,3004,39.32,16.35,-0.05
5-August-2021,1440.00,1460.55,1437.20,1446.75,1446.349209319734256573,10687,1601,15457134.00,5328,49.85,23.35,6.75
4-August-2021,1461.00,1472.00,1442.00,1445.25,1459.183247221346636150,218901,2560,319416672.00,209128,95.54,30.00,-15.75
3-August-2021,1445.00,1463.35,1444.35,1449.80,1451.539590115079547017,21811,3157,31659530.00,13862,63.56,19.00,4.80
2-August-2021,1484.70,1487.95,1445.90,1455.95,1456.534291704103024857,16695,2278,24316840.00,6330,37.92,42.05,-28.75
30-July-2021,1475.00,1520.05,1472.60,1475.60,1489.001598044745252867,10638,1848,15839999.00,3981,37.42,47.45,0.60
29-July-2021,1507.00,1507.85,1483.85,1497.40,1498.583006535947712418,5355,872,8024912.00,1633,30.49,24.00,-9.60
28-July-2021,1473.00,1504.50,1468.10,1499.25,1492.597298074159241161,10437,1443,15578238.00,3835,36.74,36.40,26.25
27-July-2021,1468.30,1479.35,1458.10,1473.10,1470.916967852387293132,10514,1610,15465221.00,4080,38.81,21.25,4.80
26-July-2021,1501.00,1501.00,1453.05,1455.80,1464.967681289167412712,134040,2247,196364268.00,122372,91.30,47.95,-45.20
23-July-2021,1516.15,1516.15,1469.00,1483.85,1490.004866124463127113,43772,5369,65220493.00,9789,22.36,47.15,-32.30
22-July-2021,1477.90,1551.15,1477.90,1543.95,1525.043301090759415517,24295,3291,37050927.00,12725,52.38,73.25,66.05
20-July-2021,1489.55,1489.55,1466.75,1477.90,1477.013454689354966363,7581,1020,11197239.00,2885,38.06,22.80,-11.65
19-July-2021,1510.00,1533.95,1483.10,1489.55,1518.930916076985934593,115034,2855,174728699.00,97436,84.70,50.85,-20.45
16-July-2021,1548.00,1556.40,1519.85,1521.60,1525.803222319184130664,76777,1468,117146594.00,69521,90.55,36.55,-26.40
15-July-2021,1535.00,1551.25,1535.00,1547.50,1545.616569304301646309,15064,840,23283168.00,10458,69.42,16.25,12.50
14-July-2021,1553.00,1553.00,1516.75,1530.45,1530.585161717420087005,21148,2283,32368815.00,7403,35.01,36.25,-22.55
13-July-2021,1595.00,1595.00,1540.00,1543.45,1562.536699158543697408,12003,1716,18755128.00,5520,45.99,55.00,-51.55
12-July-2021,1571.15,1597.95,1571.15,1585.35,1570.655947338066543364,100566,1354,157954586.00,95017,94.48,26.80,14.20
9-July-2021,1571.30,1576.90,1555.80,1569.45,1565.175204274041483343,6364,960,9960775.00,3016,47.39,21.10,-1.85
8-July-2021,1595.15,1606.10,1566.00,1568.95,1589.278499542543458371,10930,1349,17370814.00,4139,37.87,40.10,-26.20
7-July-2021,1559.00,1596.00,1556.25,1589.55,1569.030932709750079524,116317,1142,182504971.00,110869,95.32,39.75,30.55
6-July-2021,1584.95,1587.60,1564.50,1568.45,1577.852810650887573964,5408,758,8533028.00,1341,24.80,23.10,-16.50
5-July-2021,1559.95,1610.65,1558.70,1565.15,1579.157985138717747656,26781,2767,42291430.00,9445,35.27,51.95,5.20
2-July-2021,1577.60,1577.60,1550.00,1552.75,1560.876185958254269449,8432,1260,13161308.00,3782,44.85,27.60,-24.85
1-July-2021,1588.00,1593.95,1555.00,1559.00,1578.176790853231702574,12857,1590,20290619.00,3319,25.81,38.95,-29.00
30-June-2021,1582.15,1597.85,1557.00,1567.35,1584.047282307265668330,7212,927,11424149.00,1464,20.30,40.85,-14.80
29-June-2021,1600.00,1607.45,1571.85,1581.20,1589.134665249734325185,23525,2542,37384393.00,5631,23.94,35.60,-18.80
28-June-2021,1548.10,1613.80,1545.00,1601.85,1586.550049992858163119,70010,6281,111074369.00,22759,32.51,68.80,53.75
25-June-2021,1510.00,1560.00,1510.00,1552.45,1544.378460115277876609,28106,2522,43406301.00,11087,39.45,50.00,42.45
24-June-2021,1535.00,1545.00,1520.95,1525.30,1531.613491441995748965,8939,1176,13691093.00,3862,43.20,24.05,-9.70
23-June-2021,1520.55,1549.50,1517.80,1534.85,1529.705914418097574270,11007,1399,16837473.00,3888,35.32,31.70,14.30
22-June-2021,1550.00,1560.00,1520.80,1528.05,1541.390075165476234994,26741,1035,41218312.00,2773,10.37,39.20,-21.95
21-June-2021,1533.00,1563.35,1522.00,1527.05,1542.455789892558694787,12565,1691,19380957.00,3470,27.62,41.35,-5.95
18-June-2021,1500.00,1563.45,1485.10,1533.45,1512.510163589245221898,24696,3274,37352951.00,9213,37.31,78.35,33.45
17-June-2021,1526.95,1530.00,1491.05,1508.15,1509.796170747018204645,15930,1861,24051053.00,3725,23.38,38.95,-18.80
16-June-2021,1506.45,1584.00,1499.00,1515.75,1547.796353978363044747,143828,12262,222616454.00,34383,23.91,85.00,9.30
15-June-2021,1519.30,1520.00,1499.20,1503.25,1507.246380398465536443,8081,1283,12180058.00,3230,39.97,20.80,-16.05
14-June-2021,1520.00,1529.75,1494.95,1503.75,1511.401657323909334633,12309,1418,18603843.00,2737,22.24,34.80,-16.25
11-June-2021,1508.70,1522.30,1496.30,1514.60,1509.421996879875195007,7692,1074,11610474.00,2715,35.30,26.00,5.90
10-June-2021,1476.00,1504.50,1466.80,1501.25,1496.170243351473457233,29217,3155,43713606.00,21500,73.59,37.70,25.25
9-June-2021,1466.00,1490.00,1463.15,1473.95,1480.610391444001270692,28331,1623,41947173.00,4685,16.54,26.85,7.95
8-June-2021,1450.00,1469.80,1438.85,1467.00,1455.685798964768742694,47912,4006,69744818.00,22327,46.60,30.95,17.00
7-June-2021,1457.20,1457.20,1435.25,1445.95,1444.885737373737373737,24750,2188,35760922.00,10716,43.30,21.95,-11.25
4-June-2021,1482.00,1482.00,1444.05,1448.20,1449.458128992922089971,75446,4360,109355818.00,16469,21.83,37.95,-33.80
3-June-2021,1499.50,1523.25,1469.70,1474.95,1492.778474974313811830,27252,907,40681199.00,15218,55.84,53.55,-24.55
2-June-2021,1479.90,1479.90,1456.85,1466.15,1467.184468741239136529,7134,668,10466894.00,2648,37.12,23.05,-13.75
1-June-2021,1470.15,1495.95,1463.60,1465.95,1478.784275291299139714,9183,838,13579676.00,1976,21.52,32.35,-4.20
31-May-2021,1480.90,1496.35,1454.95,1471.75,1467.782697086062796476,48697,1838,71476614.00,4815,9.89,41.40,-9.15
28-May-2021,1447.00,1566.90,1447.00,1486.15,1517.684422940395715652,129588,9039,196673689.00,25143,19.40,119.90,39.15
27-May-2021,1470.55,1486.45,1430.40,1446.45,1449.929314455721309054,47393,2802,68716500.00,9511,20.07,56.05,-24.10
26-May-2021,1482.10,1499.00,1466.00,1477.00,1479.928160919540229885,9396,1198,13905405.00,1385,14.74,33.00,-5.10
25-May-2021,1480.00,1511.85,1463.75,1479.60,1484.551458955879767973,22756,2549,33782453.00,5276,23.18,48.10,-0.40
24-May-2021,1549.00,1553.25,1490.00,1493.90,1515.421395127370843583,12601,1647,19095825.00,3739,29.67,63.25,-55.10
21-May-2021,1545.00,1552.45,1506.75,1527.10,1518.742999826799838346,34642,1501,52612295.00,2996,8.65,45.70,-17.90
20-May-2021,1505.75,1547.65,1503.70,1527.40,1527.480593607305936073,47304,4094,72255942.00,15064,31.84,43.95,21.65
19-May-2021,1498.50,1511.00,1478.15,1505.75,1494.263220346572336900,44666,1921,66742761.00,8070,18.07,32.85,7.25
18-May-2021,1474.15,1508.70,1473.35,1488.00,1493.555993302472175711,10153,984,15164074.00,2624,25.84,35.35,13.85
17-May-2021,1462.95,1497.65,1441.25,1475.45,1479.249848550411077455,11555,1320,17092732.00,3262,28.23,56.40,12.50
14-May-2021,1475.00,1518.60,1461.35,1473.70,1480.188304781099540924,35724,1694,52878247.00,2184,6.11,57.25,-1.30
12-May-2021,1444.00,1494.30,1441.00,1480.95,1476.539445895452443733,160042,682,236308326.00,153551,95.94,53.30,36.95
11-May-2021,1484.75,1512.45,1470.10,1483.95,1492.345759179092512425,12474,1220,18615521.00,3006,24.10,42.35,-0.80
10-May-2021,1450.40,1499.20,1450.40,1496.90,1483.360277223247579946,26549,2405,39381732.00,14508,54.65,48.80,46.50
7-May-2021,1461.65,1465.60,1442.10,1451.20,1454.829811240203702009,32793,1299,47708234.00,2376,7.25,23.50,-10.45
6-May-2021,1455.00,1482.35,1450.00,1453.05,1464.992472146943691659,16605,1705,24326200.00,6025,36.28,32.35,-1.95
5-May-2021,1450.00,1472.00,1441.40,1452.45,1456.017480859136797886,14759,1354,21489362.00,6211,42.08,30.60,2.45
4-May-2021,1427.15,1471.00,1423.50,1443.50,1448.361783929257977700,7803,920,11301567.00,3184,40.80,47.50,16.35
3-May-2021,1429.00,1443.20,1390.20,1434.55,1425.243118231046931407,8864,977,12633355.00,2235,25.21,53.00,5.55
30-April-2021,1415.00,1422.50,1400.45,1413.95,1408.849010451412052479,4497,546,6335594.00,1330,29.58,22.05,-1.05
29-April-2021,1425.00,1446.85,1413.05,1417.25,1427.096939763703273290,41304,1316,58944812.00,5077,12.29,33.80,-7.75
28-April-2021,1444.00,1450.00,1422.30,1425.80,1436.423213311511183851,7332,681,10531855.00,2177,29.69,27.70,-18.20
27-April-2021,1473.40,1473.40,1420.95,1438.40,1440.741957832453282402,53406,1237,76944265.00,3163,5.92,52.45,-35.00
26-April-2021,1424.00,1461.45,1392.10,1451.40,1432.635263515041845736,35368,3172,50669444.00,5091,14.39,69.35,27.40
23-April-2021,1379.45,1403.95,1376.20,1380.65,1391.724253731343283582,8040,888,11189463.00,2276,28.31,27.75,1.20
22-April-2021,1373.10,1399.40,1373.10,1379.20,1379.262974617159639186,71505,870,98624199.00,2468,3.45,26.30,6.10
20-April-2021,1372.15,1417.95,1366.50,1398.65,1377.736900394545580397,43341,2251,59712495.00,6706,15.47,51.45,26.50
19-April-2021,1420.00,1420.00,1335.00,1362.15,1361.546733706052305729,26651,3280,36286582.00,5526,20.73,85.00,-57.85
16-April-2021,1390.00,1426.95,1385.00,1416.95,1411.595954161510733308,18587,2015,26237334.00,8463,45.53,41.95,26.95
15-April-2021,1363.95,1396.60,1333.55,1388.05,1364.374166161309884778,16490,2046,22498530.00,6573,39.86,63.05,24.10
13-April-2021,1381.75,1387.70,1346.30,1365.20,1356.208930540242557883,19954,1308,27061793.00,3879,19.44,41.40,-16.55
12-April-2021,1424.00,1424.00,1330.50,1350.95,1361.219490737249578965,39783,5381,54153395.00,17651,44.37,93.50,-73.05
9-April-2021,1433.75,1441.90,1406.90,1421.40,1418.004979306777030522,15464,1419,21928029.00,8591,55.55,35.00,-12.35
8-April-2021,1465.00,1465.00,1427.00,1429.20,1447.873209659649227287,100749,1027,145871778.00,93898,93.20,38.00,-35.80
7-April-2021,1432.25,1455.00,1423.05,1448.55,1439.219351745811915732,37547,1171,54038369.00,3765,10.03,31.95,16.30
6-April-2021,1426.55,1439.00,1415.45,1426.50,1423.457591178965224766,9432,709,13426052.00,1677,17.78,23.55,-0.05
5-April-2021,1447.50,1447.50,1400.55,1410.15,1414.971518987341772151,10744,1347,15202454.00,4216,39.24,46.95,-37.35
1-April-2021,1435.10,1446.00,1407.60,1435.65,1425.959204697640877717,9707,1207,13841786.00,2219,22.86,38.40,0.55
31-March-2021,1426.05,1447.00,1419.60,1435.80,1436.035313201896680808,32056,915,46033548.00,3153,9.84,27.40,9.75
30-March-2021,1400.60,1439.00,1400.60,1432.45,1408.593542239163194752,45124,1383,63561375.00,6238,13.82,38.40,31.85
26-March-2021,1409.20,1416.25,1392.05,1400.60,1401.363646762754518416,34968,688,49002884.00,1770,5.06,24.20,-8.60
25-March-2021,1402.20,1411.25,1377.90,1387.70,1395.284695074276778733,10232,1042,14276553.00,3073,30.03,33.35,-14.50
24-March-2021,1432.70,1440.00,1400.15,1402.35,1429.831483545776183783,41266,1026,59003426.00,3810,9.23,39.85,-30.35
23-March-2021,1443.00,1458.95,1425.35,1437.70,1441.729001584786053882,8203,793,11826503.00,2296,27.99,33.60,-5.30
22-March-2021,1442.35,1459.40,1430.00,1433.05,1436.901735231039188925,5129,392,7369869.00,3349,65.30,29.40,-9.30
19-March-2021,1438.00,1441.15,1402.00,1436.45,1425.654309268048963277,20015,1677,28534471.00,5835,29.15,39.15,-1.55
18-March-2021,1497.95,1497.95,1435.55,1438.55,1453.778691588785046728,26750,834,38888580.00,2341,8.75,62.40,-59.40
17-March-2021,1490.00,1505.00,1453.10,1474.45,1474.855534217877094972,11456,1158,16895945.00,5377,46.94,51.90,-15.55
16-March-2021,1468.45,1515.80,1468.45,1493.70,1488.691283745256493442,50859,1456,75713350.00,4073,8.01,47.35,25.25
15-March-2021,1494.70,1494.70,1460.00,1464.55,1469.171877626491847369,11898,1121,17480207.00,4162,34.98,34.70,-30.15
12-March-2021,1475.00,1510.00,1460.55,1471.35,1491.555944812075602266,23121,2368,34486265.00,10944,47.33,49.45,-3.65
10-March-2021,1478.35,1480.90,1451.60,1471.35,1464.961807172799254774,4294,420,6290546.00,1332,31.02,29.30,-7.00
