Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,3668.90,3687.10,3649.00,3671.05,3661.684917147546190904,94445,7688,345827832.00,51572,54.61,38.10,2.15
25-August-2021,3612.80,3697.00,3608.95,3659.50,3667.634024445967557687,70032,5384,256851746.00,22601,32.27,88.05,46.70
24-August-2021,3653.00,3668.75,3595.85,3612.20,3624.375916195321128551,59758,4641,216585456.00,18125,30.33,72.90,-40.80
23-August-2021,3570.00,3672.50,3562.95,3635.85,3631.503307892020394757,127876,8715,464382117.00,34780,27.20,109.55,65.85
20-August-2021,3524.00,3573.10,3503.60,3557.45,3550.251673287261250476,55131,4466,195728925.00,16013,29.05,69.50,33.45
18-August-2021,3555.00,3594.60,3537.00,3558.50,3562.197964420609520514,69366,5218,247095424.00,17167,24.75,57.60,3.50
17-August-2021,3484.45,3560.25,3464.00,3552.40,3529.101552494299190953,160065,7664,564885640.00,73916,46.18,96.25,67.95
16-August-2021,3461.90,3492.50,3437.00,3471.75,3467.338277420586924692,62836,5443,217873668.00,17896,28.48,55.50,9.85
13-August-2021,3353.00,3479.35,3353.00,3461.90,3437.054023377606085346,301314,29296,1035632496.00,179555,59.59,126.35,108.90
12-August-2021,3346.00,3367.55,3332.15,3353.95,3354.749932330012992637,73888,5204,247875763.00,56473,76.43,35.40,7.95
11-August-2021,3350.00,3359.85,3327.30,3340.55,3342.878434414247784970,67042,4549,224113256.00,35609,53.11,32.55,-9.45
10-August-2021,3322.40,3349.20,3315.00,3333.25,3331.034446971537085697,90574,6061,301705114.00,67371,74.38,34.20,10.85
9-August-2021,3315.85,3336.55,3310.00,3322.40,3323.712256713050884522,86883,9296,288774092.00,63026,72.54,26.55,6.55
6-August-2021,3275.00,3323.80,3265.00,3310.15,3299.207714299385152754,167196,11821,551614333.00,119537,71.50,58.80,35.15
5-August-2021,3274.00,3315.00,3264.95,3285.15,3292.501488281739566361,63832,5115,210166955.00,22052,34.55,50.05,11.15
4-August-2021,3302.50,3305.00,3261.65,3273.45,3271.988376219353515917,126809,7170,414917574.00,97079,76.56,43.35,-29.05
3-August-2021,3220.00,3289.95,3220.00,3284.15,3266.740277293861809618,166466,10037,543801187.00,90754,54.52,69.95,64.15
2-August-2021,3173.55,3224.65,3166.05,3217.90,3199.534182953109905625,134570,13363,430561315.00,98021,72.84,58.60,44.35
30-July-2021,3209.00,3221.65,3162.00,3167.50,3195.795539524870642444,52954,7347,169230157.00,23358,44.11,59.65,-41.50
29-July-2021,3208.80,3226.00,3191.00,3196.60,3210.679583110636023516,44904,3662,144172356.00,19933,44.39,35.00,-12.20
28-July-2021,3196.00,3203.30,3133.20,3197.50,3166.437349779591502766,97773,13344,309592079.00,45363,46.40,70.10,1.50
27-July-2021,3204.00,3209.50,3161.00,3183.05,3184.690614722995193523,63248,9356,201425312.00,34588,54.69,48.50,-20.95
26-July-2021,3210.00,3224.00,3191.00,3199.35,3207.529798939681904571,49985,4375,160328377.00,21858,43.73,33.00,-10.65
23-July-2021,3225.00,3240.90,3206.30,3212.05,3225.023339369654003236,103816,8336,334809023.00,59841,57.64,34.60,-12.95
22-July-2021,3189.00,3224.85,3189.00,3216.55,3209.840744085668375186,85259,4009,273667812.00,45536,53.41,35.85,27.55
20-July-2021,3184.00,3214.85,3156.00,3205.30,3193.433976131312777797,114292,9236,364983956.00,63972,55.97,58.85,21.30
19-July-2021,3188.00,3200.00,3175.00,3184.40,3193.965702066079518483,433962,3488,1386059744.00,407299,93.86,25.00,-3.60
16-July-2021,3217.50,3219.00,3190.00,3194.65,3201.370722593695566668,71188,6228,227899179.00,22195,31.18,29.00,-22.85
15-July-2021,3233.00,3233.00,3194.90,3201.50,3207.124864550421462057,87671,4755,281171844.00,48679,55.52,38.10,-31.50
14-July-2021,3181.00,3220.95,3181.00,3213.85,3199.284217873345681995,372510,9175,1191765364.00,307957,82.67,39.95,32.85
13-July-2021,3215.00,3215.60,3175.45,3187.90,3193.556980855050905086,51763,4977,165308090.00,24439,47.21,40.15,-27.10
12-July-2021,3235.00,3238.90,3188.95,3192.95,3209.590947170008900989,496574,10067,1593799415.00,445444,89.70,49.95,-42.05
9-July-2021,3260.00,3281.00,3200.00,3207.75,3227.807843086628539953,232383,21551,750087670.00,83611,35.98,81.00,-52.25
8-July-2021,3295.00,3296.95,3232.30,3257.10,3265.345752456753025257,98504,10981,321649618.00,34096,34.61,64.65,-37.90
7-July-2021,3283.00,3283.45,3242.00,3275.30,3264.301743255761726974,106869,11684,348852663.00,45809,42.86,41.45,-7.70
6-July-2021,3315.00,3329.10,3256.10,3262.35,3287.180873450643437836,177251,21490,582656097.00,101144,57.06,73.00,-52.65
5-July-2021,3337.00,3373.90,3303.45,3321.55,3342.464259803986228911,75811,9423,253395558.00,28499,37.59,70.45,-15.45
2-July-2021,3338.00,3338.00,3296.05,3325.55,3310.266732340499507446,51771,6562,171375819.00,20828,40.23,41.95,-12.45
1-July-2021,3359.00,3362.95,3333.00,3341.00,3343.847111766303293633,25777,3682,86194347.00,9424,36.56,29.95,-18.00
30-June-2021,3338.95,3382.00,3338.95,3345.25,3361.961061427943116845,34105,3099,114659682.00,13487,39.55,43.05,6.30
29-June-2021,3348.70,3366.00,3327.00,3339.60,3344.690858021293959120,52691,2620,176235106.00,33014,62.66,39.00,-9.10
28-June-2021,3396.00,3396.00,3332.45,3335.60,3346.050261368367488550,43234,4265,144663137.00,15644,36.18,63.55,-60.40
25-June-2021,3390.00,3399.00,3351.00,3380.70,3365.108222546646813175,206177,5871,693807918.00,148338,71.95,48.00,-9.30
24-June-2021,3282.00,3382.00,3272.60,3373.60,3343.423437645524820713,214740,21681,717966749.00,131520,61.25,109.40,91.60
23-June-2021,3325.00,3325.00,3256.60,3262.10,3299.678432076506397232,506938,3508,1672732385.00,483643,95.40,68.40,-62.90
22-June-2021,3319.00,3327.00,3287.45,3300.65,3311.131758751581611134,47420,3999,157013868.00,15671,33.05,39.55,-18.35
21-June-2021,3278.00,3285.95,3253.00,3272.45,3296.254162216433188653,1452171,4016,4786724703.00,1424477,98.09,32.95,-5.55
18-June-2021,3350.00,3357.85,3275.00,3297.00,3318.724825786599897432,132596,14364,440049637.00,61613,46.47,82.85,-53.00
17-June-2021,3260.00,3335.05,3260.00,3320.10,3297.151766294157353933,106664,12278,351687396.00,64420,60.40,75.05,60.10
16-June-2021,3265.00,3294.30,3253.15,3276.35,3264.334271639690358902,166257,2941,542718423.00,144334,86.81,41.15,11.35
15-June-2021,3300.00,3300.00,3251.55,3262.45,3277.912815307456710757,567462,7056,1860090962.00,494156,87.08,48.45,-37.55
14-June-2021,3290.00,3307.60,3270.05,3276.35,3285.262714067526727975,61546,5481,202194779.00,17950,29.17,37.55,-13.65
11-June-2021,3215.00,3309.00,3213.00,3271.70,3272.385513955071477195,110175,8811,360535074.00,34718,31.51,96.00,56.70
10-June-2021,3210.00,3225.00,3192.60,3216.05,3209.167764950701085071,40366,3185,129541266.00,10587,26.23,32.40,6.05
9-June-2021,3202.00,3220.80,3187.80,3199.50,3201.741251039536085949,88982,8297,284897340.00,42721,48.01,33.00,-2.50
8-June-2021,3200.00,3231.55,3190.20,3200.50,3212.916689437410814585,65874,5621,211647674.00,16901,25.66,41.35,0.50
7-June-2021,3155.00,3189.95,3134.00,3181.80,3156.967202873652975167,38418,3693,121284366.00,13703,35.67,55.95,26.80
4-June-2021,3130.00,3156.95,3125.10,3143.15,3140.935705142932160556,60938,5713,191402340.00,27227,44.68,31.85,13.15
3-June-2021,3150.00,3154.95,3122.40,3141.45,3136.121666587441175072,42074,3464,131949183.00,10994,26.13,32.55,-8.55
2-June-2021,3154.00,3155.70,3116.15,3129.30,3126.452987140303327374,69364,8094,216863285.00,28575,41.20,39.55,-24.70
1-June-2021,3170.00,3170.00,3132.00,3153.40,3148.508361796331435800,39525,4052,124444793.00,14477,36.63,38.00,-16.60
31-May-2021,3150.00,3170.00,3129.00,3158.95,3154.192960540818575942,81654,8309,257552472.00,39348,48.19,41.00,8.95
28-May-2021,3190.00,3197.65,3137.00,3144.10,3162.179615900351297139,90237,9404,285345602.00,34916,38.69,60.65,-45.90
27-May-2021,3165.40,3218.00,3162.95,3180.20,3198.589443339515966837,89498,6613,286267358.00,21493,24.02,55.05,14.80
26-May-2021,3123.00,3165.00,3104.75,3158.20,3142.702724523881140468,63167,4172,198515103.00,16677,26.40,60.25,35.20
25-May-2021,3094.00,3127.00,3082.85,3113.95,3111.922274143302180685,89880,8548,279699574.00,44673,49.70,44.15,19.95
24-May-2021,3080.55,3105.00,3075.00,3081.85,3089.987853655667313687,34002,3092,105065767.00,11827,34.78,30.00,1.30
21-May-2021,3065.00,3087.90,3055.35,3080.40,3075.827315175097276264,25700,2473,79048762.00,6820,26.54,32.55,15.40
20-May-2021,3074.00,3087.55,3053.00,3060.00,3065.473129012499716431,44081,5695,135129121.00,22013,49.94,34.55,-14.00
19-May-2021,3080.00,3118.00,3066.05,3081.95,3097.667109769638584364,63943,6436,198074128.00,25052,39.18,51.95,1.95
18-May-2021,3095.00,3123.00,3078.70,3089.35,3098.197405733217283881,71234,7630,220696994.00,34862,48.94,44.30,-5.65
17-May-2021,3060.00,3077.00,3035.65,3069.80,3050.627740174780047094,101499,4064,309635665.00,64454,63.50,41.35,9.80
14-May-2021,3100.00,3100.00,3040.55,3050.75,3051.457950982274268893,78135,10026,238425667.00,36009,46.09,59.45,-49.25
12-May-2021,3139.00,3139.00,3070.50,3088.50,3087.573289501981627699,65098,9227,200994846.00,26979,41.44,68.50,-50.50
11-May-2021,3130.00,3130.00,3092.20,3123.20,3109.886291130102694269,42943,4295,133547847.00,13468,31.36,37.80,-6.80
10-May-2021,3140.00,3164.00,3126.00,3145.15,3146.218174273858921161,36150,4050,113735787.00,13503,37.35,38.00,5.15
7-May-2021,3130.00,3160.00,3112.15,3132.00,3130.506299404379691340,90326,5423,282766112.00,42859,47.45,47.85,2.00
6-May-2021,3108.00,3134.25,3074.00,3111.30,3101.457107066239977279,197177,8038,611536008.00,152980,77.59,60.25,3.30
5-May-2021,3077.80,3100.00,3053.70,3096.35,3085.264886057338887527,40810,3930,125909660.00,15562,38.13,46.30,18.55
4-May-2021,3060.00,3090.00,3035.20,3048.95,3059.884651620614497644,71115,7291,217603697.00,25831,36.32,54.80,-11.05
3-May-2021,3034.70,3057.00,3004.80,3037.00,3037.019329138563215789,110455,12181,335453970.00,41101,37.21,52.20,2.30
30-April-2021,3111.00,3132.70,3021.00,3038.40,3073.896388761204320845,69616,7653,213992371.00,35096,50.41,111.70,-72.60
29-April-2021,3142.00,3156.30,3105.40,3113.20,3132.165427775567051333,62825,4300,196778293.00,33857,53.89,50.90,-28.80
28-April-2021,3143.00,3150.50,3112.00,3123.80,3126.498114073092410418,39238,3909,122677533.00,11291,28.78,38.50,-19.20
27-April-2021,3103.00,3135.10,3103.00,3131.60,3121.643512753101794197,43362,4715,135360706.00,19796,45.65,32.10,28.60
26-April-2021,3109.80,3151.95,3088.10,3101.10,3120.094853724917988678,96633,7951,301504126.00,23203,24.01,63.85,-8.70
23-April-2021,3105.00,3119.75,3092.00,3109.80,3105.716163959783449342,67236,7829,208815932.00,25736,38.28,27.75,4.80
22-April-2021,3146.15,3149.70,3105.50,3119.10,3138.760049099426338335,199595,11010,626480812.00,177089,88.72,44.20,-27.05
20-April-2021,3215.00,3220.00,3127.00,3144.10,3148.483340565192906007,108317,11388,341034270.00,44018,40.64,93.00,-70.90
19-April-2021,3193.30,3193.30,3135.20,3163.10,3163.637379425505835539,56293,4512,178090639.00,17310,30.75,58.10,-30.20
16-April-2021,3228.95,3246.25,3182.00,3193.30,3208.361697137979231353,106603,8718,342020982.00,44059,41.33,64.25,-35.65
15-April-2021,3145.00,3240.55,3086.20,3218.95,3133.787590639542219286,673685,19777,2111185693.00,526820,78.20,154.35,73.95
13-April-2021,3230.00,3230.00,3074.55,3105.00,3115.514497697080277238,247729,21983,771803291.00,90146,36.39,155.45,-125.00
12-April-2021,3330.00,3343.90,3217.75,3241.45,3274.522526507687564509,149202,10714,488565310.00,35582,23.85,126.15,-88.55
9-April-2021,3350.00,3358.80,3308.75,3322.20,3325.448802513156698552,98999,6167,329216106.00,38184,38.57,50.05,-27.80
8-April-2021,3267.35,3334.85,3267.35,3316.50,3315.038691001997744044,73583,5895,243930492.00,20579,27.97,67.50,49.15
7-April-2021,3262.00,3277.95,3235.10,3270.75,3260.639866167962129624,68444,4753,223171235.00,27189,39.72,42.85,8.75
6-April-2021,3278.00,3278.00,3229.90,3263.85,3253.138683018367230888,105514,8849,343251675.00,42678,40.45,48.10,-14.15
5-April-2021,3171.00,3262.55,3151.25,3239.30,3174.858441854152394153,1005721,21716,3193021807.00,857909,85.30,111.30,68.30
1-April-2021,3190.00,3215.70,3146.00,3165.90,3176.409588312403822406,105274,7100,334393343.00,42903,40.75,69.70,-24.10
31-March-2021,3155.00,3205.00,3131.65,3177.60,3179.377996283437351975,192113,12509,610799845.00,51540,26.83,73.35,22.60
30-March-2021,3080.00,3188.00,3059.85,3159.95,3145.615922154667355019,216943,18158,682419355.00,99386,45.81,128.15,79.95
26-March-2021,3083.00,3118.00,3044.00,3068.15,3078.244167080348911424,112808,9867,347250568.00,22838,20.24,74.00,-14.85
25-March-2021,3120.95,3129.70,3051.00,3068.05,3089.978780569120040791,50991,4216,157561108.00,17856,35.02,78.70,-52.90
24-March-2021,3125.00,3151.70,3111.50,3120.95,3131.039929371162566716,49838,4047,156044768.00,10829,21.73,40.20,-4.05
23-March-2021,3139.75,3168.50,3124.00,3142.05,3149.038188879299716434,64888,4967,204334790.00,14175,21.85,44.50,2.30
22-March-2021,3060.00,3139.00,3018.05,3129.60,3089.364981287150510016,136270,10244,420987766.00,50805,37.28,120.95,69.60
19-March-2021,3032.00,3098.00,3004.45,3063.25,3046.141675821728673654,202074,13142,615546033.00,58266,28.83,93.55,31.25
18-March-2021,3122.00,3145.00,2986.30,3036.80,3071.420337289990754811,94103,6613,289029868.00,18374,19.53,158.70,-85.20
17-March-2021,3108.00,3156.75,3086.00,3112.70,3131.133659081072461787,263394,7760,824721819.00,170072,64.57,70.75,4.70
16-March-2021,3064.85,3139.90,3063.00,3108.70,3115.138017651052274270,294600,24303,917719660.00,152134,51.64,76.90,43.85
15-March-2021,3054.00,3098.90,3043.00,3066.35,3072.517030584012562626,53492,4327,164355081.00,9406,17.58,55.90,12.35
12-March-2021,3075.00,3115.65,3042.05,3056.90,3086.883352463259289266,133299,11148,411478464.00,50758,38.08,73.60,-18.10
10-March-2021,3080.20,3092.00,3060.10,3071.95,3076.999675168431183830,83120,5734,255760213.00,27452,33.03,31.90,-8.25
9-March-2021,3008.05,3066.90,2993.00,3049.95,3024.657241387345193573,85833,8003,259615405.00,40509,47.20,73.90,41.90
8-March-2021,3039.00,3039.00,2996.00,3007.20,3016.799510129101393070,39194,3238,118240440.00,10811,27.58,43.00,-31.80
5-March-2021,3020.00,3063.45,2997.35,3007.00,3035.715889315669828329,63785,4963,193633138.00,15509,24.31,66.10,-13.00
4-March-2021,3030.00,3081.55,3019.90,3047.70,3045.841145433537220933,371283,5158,1130869038.00,321286,86.53,61.65,17.70
3-March-2021,3030.00,3063.45,2996.50,3058.65,3037.764536082474226804,206125,13362,626159215.00,82544,40.05,66.95,28.65
2-March-2021,2970.00,3025.40,2946.15,3010.55,2985.037831013963632915,168724,14988,503647523.00,78234,46.37,79.25,40.55
1-March-2021,2930.00,2964.95,2900.00,2926.20,2928.337835337650323774,210795,17050,617278974.00,93899,44.55,64.95,-3.80
26-February-2021,2968.50,2971.90,2881.35,2896.05,2921.372440353184294570,202274,17939,590917689.00,88018,43.51,90.55,-72.45
25-February-2021,2980.00,3029.45,2969.10,2992.90,2964.715904754636342822,497914,14250,1476173555.00,392770,78.88,60.35,12.90
24-February-2021,2980.20,3002.25,2701.00,2951.40,2920.698519945391998511,720041,46729,2103022683.00,342833,47.61,301.25,-28.80
23-February-2021,2971.60,3027.90,2970.00,2980.00,2997.610648491416186619,140264,12495,420456860.00,41262,29.42,57.90,8.40
22-February-2021,3090.00,3090.00,2945.50,2958.75,2994.450894880411824564,233886,30527,700360142.00,110134,47.09,144.50,-131.25
19-February-2021,3057.55,3085.85,3017.55,3072.10,3046.145657829534192269,129152,12991,393415804.00,33201,25.71,68.30,14.55
18-February-2021,3073.00,3098.75,3032.00,3057.55,3054.601679752937288463,175502,15485,536088704.00,53172,30.30,66.75,-15.45
17-February-2021,3109.00,3131.95,3047.00,3073.50,3075.753706807402916948,140215,16945,431266806.00,47270,33.71,84.95,-35.50
16-February-2021,3158.90,3166.25,3100.25,3109.30,3125.580118575052452281,136791,13329,427551230.00,56646,41.41,66.00,-49.60
15-February-2021,3206.00,3206.00,3131.00,3139.95,3156.613002325603652059,104489,11588,329831336.00,46767,44.76,75.00,-66.05
12-February-2021,3197.00,3245.80,3183.40,3191.15,3213.228187189054726368,64320,4961,206674837.00,15079,23.44,62.40,-5.85
11-February-2021,3223.00,3223.00,3186.00,3205.85,3203.694502923976608187,38475,2265,123262146.00,17428,45.30,37.00,-17.15
10-February-2021,3177.00,3219.30,3158.95,3210.95,3195.601116463771889850,61444,4217,196350515.00,17257,28.09,60.35,33.95
9-February-2021,3200.00,3245.15,3165.05,3175.80,3214.568067906224737267,123700,10493,397642070.00,66165,53.49,80.10,-24.20
8-February-2021,3185.20,3224.95,3155.50,3215.15,3194.263186983744823252,132081,9679,421901476.00,46802,35.43,69.45,29.95
5-February-2021,3191.10,3200.00,3129.50,3158.05,3155.486496198237822143,69573,6461,219536662.00,20564,29.56,70.50,-33.05
4-February-2021,3206.00,3233.95,3177.00,3187.30,3200.414387955598246596,434127,3774,1389386297.00,393112,90.55,56.95,-18.70
3-February-2021,3207.00,3235.15,3164.60,3199.10,3213.355016797972455254,101798,6425,327113114.00,43892,43.12,70.55,-7.90
2-February-2021,3161.00,3224.55,3154.50,3203.00,3197.342996419481471895,115905,11139,370588040.00,60290,52.02,70.05,42.00
1-February-2021,3104.00,3165.00,3045.10,3140.70,3099.118650162767809826,158508,18592,491235099.00,49862,31.46,119.90,36.70
29-January-2021,3206.00,3215.00,3100.50,3112.90,3152.596054906371721968,96018,12623,302705968.00,34897,36.34,114.50,-93.10
28-January-2021,3240.00,3272.70,3183.95,3199.45,3235.699012568456577684,555279,13582,1796715712.00,369704,66.58,88.75,-40.55
27-January-2021,3300.00,3305.30,3227.15,3261.05,3235.577233292897351670,586936,5962,1899076759.00,22874,3.90,78.15,-38.95
25-January-2021,3295.00,3345.25,3277.70,3290.20,3314.175608806849772044,107916,11688,357652575.00,50621,46.91,67.55,-4.80
22-January-2021,3249.10,3323.90,3249.05,3303.40,3307.909239688482378402,316515,11169,1047002893.00,252000,79.62,74.85,54.30
21-January-2021,3308.00,3310.00,3262.00,3274.80,3281.772299616867215784,85349,8711,280095984.00,28894,33.85,48.00,-33.20
20-January-2021,3265.00,3327.00,3265.00,3308.20,3297.447112215726889534,1574806,11010,5192839497.00,38989,2.48,62.00,43.20
19-January-2021,3229.00,3279.00,3229.00,3265.15,3258.985032800458569517,94206,6558,307015944.00,32130,34.11,50.00,36.15
18-January-2021,3249.00,3255.50,3186.60,3220.80,3230.289015169584506034,167704,15121,541732389.00,64351,38.37,68.90,-28.20
15-January-2021,3244.35,3273.85,3210.10,3233.60,3244.159096369584100835,162323,11895,526601637.00,65502,40.35,63.75,-10.75
14-January-2021,3164.00,3267.00,3120.00,3250.15,3178.334832094817044492,531550,14124,1689443880.00,370485,69.70,147.00,86.15
13-January-2021,3179.95,3179.95,3127.10,3158.80,3143.857616162729634682,653157,6712,2053432609.00,596634,91.35,52.85,-21.15
12-January-2021,3179.95,3208.10,3150.95,3172.85,3189.847287553324021291,132445,9260,422479324.00,60081,45.36,57.15,-7.10
11-January-2021,3215.00,3224.00,3147.45,3175.05,3174.203197949526813880,253600,18332,804977931.00,48456,19.11,76.55,-39.95
8-January-2021,3085.20,3127.55,3061.80,3120.35,3100.198427093598404242,210057,14084,651218381.00,39888,18.99,65.75,35.15
7-January-2021,3075.00,3079.80,3001.00,3032.70,3028.175937517517143444,160557,14514,486194844.00,38581,24.03,78.80,-42.30
6-January-2021,3102.15,3114.45,3037.80,3052.95,3077.471500309088907518,118089,8772,363415532.00,26812,22.70,76.65,-49.20
5-January-2021,3044.10,3112.75,3040.00,3092.30,3083.915149777841479145,188379,11333,580944852.00,31619,16.78,72.75,48.20
4-January-2021,2950.00,3050.00,2942.00,3039.25,2998.159356844187505687,208783,15602,625964705.00,79087,37.88,108.00,89.25
1-January-2021,2879.00,2939.90,2877.30,2928.20,2912.167689510544590523,152353,11683,443677484.00,72929,47.87,62.60,49.20
31-December-2020,2902.00,2906.05,2845.00,2870.20,2879.640610054585597744,834286,9935,2402443846.00,746785,89.51,61.05,-31.80
30-December-2020,2937.00,2947.00,2904.00,2908.85,2915.406869589500139625,175469,6474,511563528.00,97417,55.52,43.00,-28.15
29-December-2020,2928.25,2951.90,2924.20,2930.65,2938.782862317314576927,47486,3729,139551043.00,15181,31.97,27.70,2.40
28-December-2020,2912.85,2949.90,2902.30,2928.25,2929.144860513948605139,80008,5208,234355022.00,24036,30.04,47.60,15.40
24-December-2020,2914.85,2921.95,2884.00,2908.45,2902.784261604039196564,63577,4947,184550315.00,14642,23.03,37.95,-6.40
23-December-2020,2889.00,2918.00,2866.05,2907.20,2905.556727486756915832,84950,5525,246827044.00,31041,36.54,51.95,18.20
22-December-2020,2830.00,2883.10,2819.00,2870.80,2849.418442550168708932,90096,6040,256721204.00,26204,29.08,64.10,40.80
21-December-2020,2865.00,2888.55,2782.90,2818.75,2849.516808370761997889,181011,15301,515793887.00,66898,36.96,105.65,-46.25
18-December-2020,2861.00,2898.00,2847.00,2862.60,2878.360777307954297171,155614,9757,447913234.00,36764,23.63,51.00,1.60
