Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,431.80,431.80,420.75,423.85,425.667394411444606165,152526,2550,64925345.00,20511,13.45,11.05,-7.95
25-August-2021,423.10,434.85,423.10,430.55,430.610734029134156722,482801,7223,207899293.00,109047,22.59,11.75,7.45
24-August-2021,414.35,423.55,412.65,421.00,419.334402495550398420,477009,7555,200026284.00,96977,20.33,10.90,6.65
23-August-2021,408.20,415.50,399.80,407.00,408.357867830098922152,613816,9762,250656593.00,147889,24.09,15.70,-1.20
20-August-2021,416.00,416.70,401.40,403.70,406.589806185119210456,478859,5743,194699188.00,86090,17.98,15.30,-12.30
18-August-2021,437.60,439.60,424.45,426.85,429.450084582763654902,258918,3771,111192357.00,50556,19.53,15.15,-10.75
17-August-2021,441.00,443.60,429.10,436.20,436.900871961536528571,238772,4747,104319695.00,50287,21.06,14.50,-4.80
16-August-2021,443.40,446.85,436.30,441.75,441.131858924534894500,280474,4353,123726017.00,60547,21.59,10.55,-1.65
13-August-2021,436.30,449.55,436.00,441.95,443.473570992676973148,393280,5221,174409286.00,53652,13.64,13.55,5.65
12-August-2021,436.40,444.00,434.00,436.95,438.446384951749095295,265280,3625,116311057.00,37355,14.08,10.00,0.55
11-August-2021,430.00,444.30,429.30,436.40,436.475204426417296456,694015,7802,302920339.00,100068,14.42,15.00,6.40
10-August-2021,435.80,439.55,423.35,426.90,431.549822959486825033,329868,6004,142354477.00,87306,26.47,16.20,-8.90
9-August-2021,444.00,444.90,428.90,434.85,436.201075667024229112,469848,6381,204948203.00,49019,10.43,16.00,-9.15
6-August-2021,447.00,455.80,439.25,442.10,447.248908201295331549,593516,8234,265449383.00,56998,9.60,16.55,-4.90
5-August-2021,445.95,445.95,433.40,443.05,439.781981026308777468,397814,5983,174951429.00,65961,16.58,12.55,-2.90
4-August-2021,448.65,455.40,441.00,442.80,447.193173348390739695,354200,6170,158395822.00,63154,17.83,14.40,-5.85
3-August-2021,449.00,450.80,440.30,448.85,445.921557164485617064,333555,5893,148739365.00,63496,19.04,10.50,-0.15
2-August-2021,444.90,452.15,442.85,445.90,447.074624083509382378,305786,5017,136709161.00,33093,10.82,9.30,1.00
30-July-2021,458.25,460.00,442.35,444.45,452.030861509073543457,654375,11993,295797695.00,155316,23.74,17.65,-13.80
29-July-2021,420.00,461.00,417.00,458.25,448.109018644518777558,2525568,31805,1131729798.00,376179,14.89,44.00,38.25
28-July-2021,420.55,420.55,407.55,416.05,413.446509912546737863,509758,7828,210757666.00,120362,23.61,13.00,-4.50
27-July-2021,401.15,419.60,401.15,417.45,414.893712331442926031,916381,12244,380200715.00,160074,17.47,18.45,16.30
26-July-2021,391.85,402.30,390.40,399.95,398.719798759309308482,363346,5800,144873244.00,128115,35.26,11.90,8.10
23-July-2021,395.85,396.50,391.00,391.85,394.503133945778060508,160341,1956,63255027.00,14541,9.07,5.50,-4.00
22-July-2021,390.50,395.10,389.65,393.45,392.793856175120057162,361078,4785,141829220.00,101483,28.11,5.45,2.95
20-July-2021,397.15,397.15,381.50,383.40,386.219881456874303269,492479,5775,190205181.00,261764,53.15,15.65,-13.75
19-July-2021,400.00,405.00,396.00,396.95,403.595188879953493715,1157693,2948,467239325.00,749364,64.73,9.00,-3.05
16-July-2021,403.80,406.00,399.25,405.40,403.290565051276895234,248650,3408,100278199.00,60497,24.33,6.75,1.60
15-July-2021,391.85,402.95,390.25,401.40,398.132984654884490064,367674,5980,146383147.00,124114,33.76,12.70,9.55
14-July-2021,392.30,394.40,391.05,391.50,392.119724551714733756,161337,3030,63263420.00,77229,47.87,3.35,-0.80
13-July-2021,389.20,394.90,389.20,392.30,392.303642375668624764,510189,6587,200149003.00,241536,47.34,5.70,3.10
12-July-2021,390.10,393.15,386.75,388.55,389.780881651189960343,911585,2661,355318405.00,751218,82.41,6.40,-1.55
9-July-2021,381.05,391.70,381.05,390.00,386.612967898915514363,387557,5115,149834562.00,133626,34.48,10.65,8.95
8-July-2021,393.50,393.50,381.15,383.20,386.596721933964031706,400297,5910,154753508.00,78791,19.68,12.35,-10.30
7-July-2021,384.90,394.90,380.40,393.65,390.050993221759888767,489065,5304,190760289.00,171399,35.05,14.50,8.75
6-July-2021,389.15,391.00,384.00,385.25,388.527723021324216383,389604,6074,151371955.00,158077,40.57,7.00,-3.90
5-July-2021,378.30,390.95,377.45,389.60,386.193340640536081013,931501,11948,359739483.00,449440,48.25,13.50,11.30
2-July-2021,378.50,380.65,374.25,376.10,377.256586894156726558,158952,2018,59965689.00,28220,17.75,6.40,-2.40
1-July-2021,373.50,380.75,373.00,379.30,377.694577981746633302,385244,5733,145504570.00,158046,41.02,7.75,5.80
30-June-2021,375.00,379.55,371.20,372.10,375.760287818327125107,361617,4021,135881308.00,139821,38.67,8.35,-2.90
29-June-2021,383.00,383.15,372.65,374.15,376.371076103858949690,433434,8074,163132021.00,193238,44.58,10.50,-8.85
28-June-2021,378.90,385.00,374.25,382.35,380.748725959320335877,758610,10335,288839791.00,266937,35.19,10.75,3.45
25-June-2021,369.00,380.25,369.00,375.95,376.235865493762581678,517121,4429,194559467.00,142218,27.50,11.25,6.95
24-June-2021,368.15,372.45,366.05,369.00,369.031014999697586742,396808,4615,146434459.00,52087,13.13,6.40,0.85
23-June-2021,369.00,376.95,367.50,368.15,373.110621926826665499,730922,9046,272714762.00,202453,27.70,9.45,-0.85
22-June-2021,370.00,371.70,366.05,367.80,369.051364315823371929,416106,4014,153564487.00,107001,25.71,5.65,-2.20
21-June-2021,364.45,369.85,360.60,367.50,365.355364482601634416,619426,9206,226310612.00,144247,23.29,9.25,3.05
18-June-2021,369.30,373.40,359.80,371.65,364.778359072523954750,739728,12162,269836766.00,147705,19.97,13.60,2.35
17-June-2021,378.00,380.25,365.25,369.30,373.865107287528732584,867482,13499,324321251.00,363295,41.88,15.00,-8.70
16-June-2021,388.00,391.25,377.00,380.30,381.843866610767630672,1056667,15072,403481813.00,415415,39.31,14.25,-7.70
15-June-2021,391.80,396.30,390.00,390.85,393.209055615900438937,291841,5135,114754524.00,80475,27.57,6.30,-0.95
14-June-2021,393.15,397.35,381.40,394.85,391.290554609123604012,549432,8902,214987552.00,165094,30.05,15.95,1.70
11-June-2021,386.00,394.95,383.15,393.15,389.244473169020992081,744233,9619,289688582.00,405060,54.43,11.80,7.15
10-June-2021,385.00,390.00,384.30,385.65,386.192900784272671182,448951,3271,173381689.00,248248,55.30,5.70,0.65
9-June-2021,389.00,390.95,382.25,383.10,388.180874069200154063,498496,4751,193506613.00,261865,52.53,8.70,-5.90
8-June-2021,395.00,395.05,381.10,387.65,385.907662120776874875,616161,11839,237781251.00,168987,27.43,13.95,-7.35
7-June-2021,395.20,401.25,394.40,395.15,397.202565016579516283,389939,5753,154884771.00,142309,36.50,6.85,-0.05
4-June-2021,399.20,399.25,392.35,395.15,395.580686243377400431,299165,3934,118343896.00,35339,11.81,6.90,-4.05
3-June-2021,404.80,405.45,398.00,399.10,401.110832118035427713,655532,8610,262940986.00,155511,23.72,7.45,-5.70
2-June-2021,390.00,402.00,389.10,398.90,396.422656826128180103,503089,7579,199435878.00,268872,53.44,12.90,8.90
1-June-2021,396.00,396.60,386.70,394.80,391.866777735977499507,279105,3605,109371977.00,36076,12.93,9.90,-1.20
31-May-2021,394.00,395.20,388.00,394.20,390.732923865828710730,1030444,5947,402628397.00,90273,8.76,7.20,0.20
28-May-2021,392.00,398.35,385.00,387.55,392.520980375029117167,686880,9891,269614811.00,186968,27.22,13.35,-4.45
27-May-2021,382.50,388.40,380.05,385.90,384.504156518231723398,451219,4648,173495581.00,46367,10.28,8.35,3.40
26-May-2021,391.40,391.40,380.50,381.00,384.749825788222521427,655811,9660,252323168.00,141290,21.54,10.90,-10.40
25-May-2021,394.00,399.50,389.65,391.40,395.604485157715269713,879211,13583,347819815.00,188365,21.42,9.85,-2.60
24-May-2021,394.50,394.50,379.70,389.65,387.617513075755019402,1167619,15465,452589573.00,273349,23.41,14.80,-4.85
21-May-2021,389.90,392.00,383.60,389.85,387.986200431903936970,674224,11549,261589608.00,109141,16.19,8.40,-0.05
20-May-2021,391.25,394.00,379.60,385.15,386.833592019654061680,983817,10808,380573464.00,141688,14.40,14.40,-6.10
19-May-2021,402.00,406.25,395.80,403.30,402.570655281025906757,467021,4810,188008950.00,46236,9.90,10.45,1.30
18-May-2021,399.20,412.70,396.45,402.10,405.514588226557901858,1454392,18407,589777173.00,229036,15.75,16.25,2.90
17-May-2021,385.00,395.20,377.20,393.05,385.364822822129754704,883914,11147,340629362.00,135869,15.37,18.00,8.05
14-May-2021,405.70,405.70,368.35,383.00,381.450402118316530434,1520075,14758,579833220.00,235274,15.48,37.35,-22.70
12-May-2021,416.80,417.70,393.85,398.70,406.957422992667526023,978251,11886,398106506.00,247089,25.26,23.85,-18.10
11-May-2021,414.90,420.65,408.85,412.85,413.887972088258185339,1157649,14791,479136997.00,213358,18.43,11.80,-2.05
10-May-2021,410.00,428.30,406.75,425.90,417.355669350949662986,1528279,17771,637835905.00,281167,18.40,21.55,15.90
7-May-2021,390.00,404.90,385.45,401.20,396.061144170032073194,1857626,21150,735733479.00,260967,14.05,19.45,11.20
6-May-2021,371.00,389.00,368.00,386.00,379.225450959398937794,1443977,14686,547592829.00,384512,26.63,21.00,15.00
5-May-2021,365.40,373.65,363.25,367.25,368.747547859991781912,771469,6160,284477302.00,134586,17.45,10.40,1.85
4-May-2021,372.80,384.45,359.75,362.65,370.198483036601708272,1525284,8578,564657823.00,640301,41.98,24.70,-10.15
3-May-2021,365.00,373.05,357.70,369.85,366.738172396112388162,694308,6723,254629247.00,243981,35.14,15.35,4.85
30-April-2021,370.50,376.85,361.50,364.30,369.554608701720107463,716525,7009,264795116.00,101868,14.22,15.35,-6.20
29-April-2021,365.80,377.35,364.60,372.20,370.199229069294858768,1102304,10314,408072091.00,180406,16.37,12.75,6.40
28-April-2021,369.90,369.90,358.00,362.50,361.074066553970037806,635334,5846,229402631.00,228419,35.95,11.90,-7.40
27-April-2021,352.00,370.00,351.55,366.20,365.017238341658249507,1084095,10537,395713363.00,96957,8.94,18.45,14.20
26-April-2021,351.80,358.20,345.75,348.30,354.320527609911295966,784519,5980,277971186.00,394022,50.22,12.45,-3.50
23-April-2021,355.00,362.50,345.45,349.45,354.353803223957944041,401370,3854,142226986.00,40380,10.06,17.05,-5.55
22-April-2021,359.35,365.65,353.15,355.75,360.412162929075872099,519809,2680,187345486.00,28149,5.42,12.50,-3.60
20-April-2021,366.15,371.55,354.75,359.35,363.540575118537696500,462722,4916,168218222.00,60852,13.15,16.80,-6.80
19-April-2021,360.00,366.00,353.75,361.45,360.432931116314702157,507769,6076,183016669.00,100796,19.85,12.25,1.45
16-April-2021,355.00,376.45,353.00,370.15,370.492271336679095655,1679139,16876,622108022.00,785405,46.77,23.45,15.15
15-April-2021,352.10,366.75,349.75,353.75,356.261115349300394227,875636,9897,311955058.00,323839,36.98,17.00,1.65
13-April-2021,335.65,350.30,335.65,348.75,344.311328969315051592,421477,4455,145119306.00,66335,15.74,14.65,13.10
12-April-2021,340.05,353.00,331.60,337.00,344.444466758754012493,612462,7568,210959147.00,137940,22.52,21.40,-3.05
9-April-2021,367.90,370.20,354.80,361.05,361.722237345463487892,760419,4777,275060462.00,289927,38.13,15.40,-6.85
8-April-2021,355.00,373.90,355.00,365.15,360.843252962175614902,1567851,12281,565748455.00,748847,47.76,18.90,10.15
7-April-2021,350.00,360.50,349.45,352.25,355.289115798032682849,403392,5381,143320787.00,125420,31.09,11.05,2.25
6-April-2021,353.00,358.30,348.50,350.50,353.216264619313846105,321065,3097,113405380.00,59360,18.49,9.80,-2.50
5-April-2021,350.00,352.85,338.25,350.40,347.018966136039893978,448589,3783,155668891.00,41653,9.29,14.60,0.40
