Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,6700.00,6715.00,6590.65,6609.05,6615.438019302427847339,86414,10326,571666461.00,60506,70.02,124.35,-90.95
25-August-2021,6825.00,6830.00,6702.05,6715.80,6733.338074398249452954,46614,8365,313867821.00,35575,76.32,127.95,-109.20
24-August-2021,6782.40,6852.65,6743.00,6808.40,6800.381675874769797421,32580,5258,221556435.00,15085,46.30,109.65,26.00
23-August-2021,6866.00,6915.00,6803.00,6826.75,6848.829149968361105252,9482,1782,64940598.00,3538,37.31,112.00,-39.25
20-August-2021,6835.00,6912.85,6775.90,6847.55,6859.874660156466736947,18023,4569,123635521.00,7248,40.22,136.95,12.55
18-August-2021,6922.00,6943.25,6820.00,6841.35,6887.449886938172411025,423662,4137,2917950794.00,411693,97.17,123.25,-80.65
17-August-2021,6820.00,6939.80,6746.65,6888.20,6813.135451219095168074,29243,7354,199236520.00,9434,32.26,193.15,68.20
16-August-2021,7025.00,7025.00,6811.00,6828.80,6880.894229856695454114,21074,3942,145007965.00,10320,48.97,214.00,-196.20
13-August-2021,7020.00,7044.30,6978.00,6999.10,7006.164280910750312229,10409,2158,72927164.00,3616,34.74,66.30,-20.90
12-August-2021,7028.95,7084.00,6986.25,7010.00,7041.394694228142557415,71017,2960,500058727.00,61799,87.02,97.75,-18.95
11-August-2021,7050.95,7091.75,6924.30,7023.85,6986.640442468727385506,9673,2010,67581773.00,2263,23.40,167.45,-27.10
10-August-2021,7070.00,7104.55,6995.25,7001.40,7041.012332990750256937,7784,1667,54807240.00,2598,33.38,109.30,-68.60
9-August-2021,7123.00,7160.20,7023.30,7081.60,7087.088830829523187459,12248,2783,86802664.00,4040,32.98,136.90,-41.40
6-August-2021,7030.00,7167.85,7030.00,7102.20,7120.453530088675285994,14773,2371,105190460.00,3576,24.21,137.85,72.20
5-August-2021,7084.80,7084.80,7007.00,7026.50,7045.243656914110790604,33974,2334,239355108.00,4616,13.59,77.80,-58.30
4-August-2021,7235.00,7247.15,7003.80,7101.95,7133.133360112472384012,14937,2915,106547613.00,3215,21.52,243.35,-133.05
3-August-2021,7099.90,7230.00,7090.05,7196.30,7150.285781386298060793,14903,2662,106560709.00,4064,27.27,139.95,96.40
2-August-2021,7066.20,7105.30,7030.05,7075.30,7063.784812336339831248,17185,3929,121391142.00,7431,43.24,75.25,9.10
30-July-2021,6999.00,7095.00,6965.30,6978.70,7021.643390012769675381,14879,3319,104475032.00,4795,32.23,129.70,-20.30
29-July-2021,7115.00,7120.00,6940.00,6991.90,7006.311765603540363192,39318,7161,275474166.00,14872,37.82,180.00,-123.10
28-July-2021,7262.00,7305.40,7063.85,7150.20,7195.862195606140815246,30224,6589,217487739.00,8911,29.48,241.55,-111.80
27-July-2021,7290.70,7321.25,7161.10,7241.45,7243.104904236796285548,6892,1681,49919479.00,1369,19.86,160.15,-49.25
26-July-2021,7291.00,7353.70,7185.00,7235.60,7235.185484923639211591,7661,2140,55428756.00,2573,33.59,168.70,-55.40
23-July-2021,7297.25,7375.00,7279.80,7290.20,7333.109917141377524598,7724,1505,56640941.00,1905,24.66,95.20,-7.05
22-July-2021,7295.00,7324.50,7245.65,7295.80,7295.847965888438417447,14306,3522,104374401.00,6022,42.09,78.85,0.80
20-July-2021,7171.00,7261.55,7146.00,7233.25,7193.567948564354458687,25041,4374,180134135.00,6156,24.58,115.55,62.25
19-July-2021,7253.65,7298.55,7150.00,7165.95,7281.983882270497547302,74204,5404,540352332.00,65259,87.95,148.55,-87.70
16-July-2021,7322.00,7331.10,7275.00,7303.65,7300.743577789174320481,21449,3390,156593649.00,12732,59.36,56.10,-18.35
15-July-2021,7355.00,7359.00,7269.10,7307.05,7299.977234558686322075,16077,3923,117361734.00,5743,35.72,89.90,-47.95
14-July-2021,7431.00,7450.00,7307.80,7328.25,7342.179957657021877205,12753,2782,93634821.00,4390,34.42,142.20,-102.75
13-July-2021,7518.00,7530.45,7405.00,7426.65,7444.458392101551480959,15598,3101,116118662.00,4421,28.34,125.45,-91.35
12-July-2021,7461.00,7589.30,7452.65,7471.15,7429.802048551310440171,341412,2827,2536623577.00,327958,96.06,136.65,10.15
9-July-2021,7419.90,7445.00,7343.50,7425.15,7408.767710189191482141,11787,1798,87327145.00,1578,13.39,101.50,5.25
8-July-2021,7494.00,7499.90,7384.00,7400.90,7420.828863346104725415,14094,3149,104589162.00,5839,41.43,115.90,-93.10
7-July-2021,7544.00,7580.60,7434.15,7451.35,7493.071532988987428125,10261,1976,76886407.00,3472,33.84,146.45,-92.65
6-July-2021,7619.00,7661.60,7489.00,7511.85,7530.326736262679323177,135161,3030,1017806492.00,116111,85.91,172.60,-107.15
5-July-2021,7574.20,7690.00,7574.20,7597.60,7598.866782689823453423,111472,3717,847060878.00,73299,65.76,115.80,23.40
2-July-2021,7604.10,7634.70,7548.00,7569.80,7572.731511254019292604,27368,4074,207250516.00,15572,56.90,86.70,-34.30
1-July-2021,7509.00,7604.10,7500.00,7585.90,7565.229599001404275237,12818,2551,96971113.00,3306,25.79,104.10,76.90
30-June-2021,7518.90,7645.75,7497.30,7513.80,7573.656714017689627445,18655,3662,141286566.00,3600,19.30,148.45,-5.10
29-June-2021,7621.80,7621.80,7452.00,7484.65,7503.658345393150024119,16584,2711,124440670.00,3666,22.11,169.80,-137.15
28-June-2021,7680.00,7695.30,7572.85,7593.85,7609.000800837799544138,16233,3365,123516910.00,4531,27.91,122.45,-86.15
25-June-2021,7525.00,7664.00,7525.00,7643.70,7627.231475799647158088,52148,9162,397744867.00,29668,56.89,139.00,118.70
24-June-2021,7441.00,7549.95,7410.05,7529.60,7496.825441538946236957,53959,9707,404521204.00,28578,52.96,139.90,88.60
23-June-2021,7282.00,7478.00,7241.35,7432.95,7425.827507683606569576,134377,11567,997860423.00,68737,51.15,236.65,150.95
22-June-2021,6955.00,7299.00,6932.55,7263.75,7198.976144585314827549,103247,19054,743272690.00,48893,47.36,366.45,308.75
21-June-2021,6914.00,6924.05,6842.10,6901.50,6885.399862421383647798,10176,2177,70065829.00,4163,40.91,81.95,-12.50
18-June-2021,6971.00,6978.70,6824.85,6958.70,6922.584805301931336575,35157,3326,243377314.00,25454,72.40,153.85,-12.30
17-June-2021,7062.15,7097.30,6940.00,6968.75,7003.152641402255944169,12323,2745,86299850.00,5658,45.91,157.30,-93.40
16-June-2021,7175.00,7191.00,7075.00,7112.65,7119.509461805555555555,11520,3077,82016749.00,3747,32.53,116.00,-62.35
15-June-2021,7177.50,7223.90,7156.60,7168.45,7181.833341997192909497,19237,1388,138156928.00,2301,11.96,67.30,-9.05
14-June-2021,7215.00,7215.00,7096.80,7176.80,7145.936760925449871465,7780,2029,55595388.00,2279,29.29,118.20,-38.20
11-June-2021,7255.00,7255.00,7190.00,7220.70,7217.344743701129452649,5755,1438,41535819.00,2324,40.38,65.00,-34.30
10-June-2021,7245.00,7276.60,7171.20,7199.15,7209.072120418848167539,15280,3805,110154622.00,6666,43.63,105.40,-45.85
9-June-2021,7335.00,7335.00,7200.00,7240.00,7251.424240267596612340,14051,2961,101889762.00,3996,28.44,135.00,-95.00
8-June-2021,7305.00,7364.00,7290.00,7335.70,7331.204714865765711169,33002,6449,241944418.00,17434,52.83,74.00,30.70
7-June-2021,7231.00,7329.25,7211.50,7279.30,7281.606870961550764506,15631,2588,113818797.00,4382,28.03,117.75,48.30
4-June-2021,7199.00,7270.00,7158.35,7213.95,7222.247845011521720576,11717,2131,84623078.00,3077,26.26,111.65,14.95
3-June-2021,7185.00,7277.05,7166.50,7207.45,7204.185294339907806241,13233,2428,95332984.00,4096,30.95,110.55,22.45
2-June-2021,7079.00,7198.90,7044.55,7183.10,7141.249549489421344190,14983,3424,106997342.00,5402,36.05,154.35,104.10
1-June-2021,7100.00,7141.90,7047.05,7091.05,7102.617334107177403753,36183,9074,256994003.00,16296,45.04,94.85,-8.95
31-May-2021,6984.00,7099.80,6926.05,7087.35,7043.334760705289672544,35730,4303,251658351.00,17836,49.92,173.75,103.35
28-May-2021,6980.00,7051.20,6928.20,6955.95,6975.293180831040972926,13814,2382,96356700.00,3675,26.60,123.00,-24.05
27-May-2021,7039.00,7068.75,6945.00,6964.15,7012.612878595062356833,23574,2883,165315336.00,4821,20.45,123.75,-74.85
26-May-2021,6924.00,7055.10,6914.30,7028.45,6997.160834840930150465,22663,3638,158576656.00,6296,27.78,140.80,104.45
25-May-2021,6899.00,6948.00,6890.00,6909.75,6915.174842434659967385,22689,4332,156898402.00,6804,29.99,58.00,10.75
24-May-2021,6811.00,6965.00,6809.05,6885.90,6898.736608226158699344,65936,7186,454875097.00,31020,47.05,155.95,74.90
21-May-2021,6770.15,6829.75,6745.00,6811.65,6796.903477983407785577,12536,1666,85205982.00,4795,38.25,84.75,41.50
20-May-2021,6819.00,6819.00,6729.95,6737.55,6769.495496944355098102,12436,1808,84185446.00,3819,30.71,89.05,-81.45
19-May-2021,6810.75,6854.15,6760.00,6775.60,6794.742611877286799887,14212,2569,96566882.00,3780,26.60,94.15,-35.15
18-May-2021,6799.90,6862.50,6718.00,6810.75,6797.141409635483048687,31384,5653,213321486.00,14180,45.18,144.50,10.85
17-May-2021,6737.00,6837.60,6697.30,6723.50,6764.289871388772277983,52406,9664,354489375.00,35312,67.38,140.30,-13.50
14-May-2021,6820.40,6837.90,6700.10,6738.15,6745.261830316088178880,38059,5390,256717920.00,24221,63.64,137.80,-82.25
12-May-2021,6734.00,6839.25,6686.00,6820.40,6761.799262446220036877,32540,5421,220028948.00,13124,40.33,153.25,86.40
11-May-2021,6695.00,6747.90,6659.70,6738.95,6704.670561177552897884,10870,1590,72879769.00,4686,43.11,88.20,43.95
10-May-2021,6690.00,6774.40,6667.05,6757.35,6736.658651270757692994,16801,2590,113182602.00,6072,36.14,107.35,67.35
7-May-2021,6675.00,6756.25,6641.70,6702.90,6695.251973764120004858,16466,2375,110244019.00,4092,24.85,114.55,27.90
6-May-2021,6572.00,6705.00,6572.00,6665.90,6661.425937489729516547,30427,5467,202687207.00,17642,57.98,133.00,93.90
5-May-2021,6510.00,6600.00,6481.70,6591.90,6548.508965856055023335,16284,2409,106635920.00,2706,16.62,118.30,81.90
4-May-2021,6633.00,6640.00,6485.00,6508.10,6552.397252627988464758,32249,4791,211308259.00,8993,27.89,155.00,-124.90
3-May-2021,6411.00,6620.00,6400.00,6598.30,6568.306631020217001014,51244,7571,336586305.00,22528,43.96,220.00,187.30
30-April-2021,6536.00,6555.50,6425.40,6459.80,6503.596628315755832534,62580,11673,406995077.00,38249,61.12,130.10,-76.20
29-April-2021,6666.00,6666.00,6555.00,6567.90,6583.835666286601489532,41221,3912,271392290.00,27255,66.12,111.00,-98.10
28-April-2021,6561.00,6649.90,6545.05,6571.10,6593.781337047353760445,41644,4623,274591430.00,15201,36.50,104.85,10.10
27-April-2021,6677.00,6705.00,6540.00,6558.20,6600.253532050976087060,83804,10661,553127647.00,43724,52.17,165.00,-118.80
26-April-2021,6675.00,6788.75,6600.00,6640.60,6672.850675634855106027,49657,6073,331353746.00,29882,60.18,188.75,-34.40
23-April-2021,6580.00,6715.45,6565.00,6674.90,6650.007419169381553371,36527,4745,242904821.00,8833,24.18,150.45,94.90
22-April-2021,6640.00,6674.00,6544.85,6650.40,6640.376840452622106492,52229,4373,346820242.00,36441,69.77,129.15,10.40
20-April-2021,6575.00,6677.95,6560.00,6644.80,6610.420108486738136932,70239,8799,464309298.00,37947,54.03,117.95,69.80
19-April-2021,6450.00,6600.00,6415.00,6517.40,6480.995903867763801790,55174,9362,357582468.00,27419,49.70,185.00,67.40
16-April-2021,6675.00,6782.00,6611.00,6649.65,6681.880776895149182431,73266,8314,489554677.00,26221,35.79,171.00,-25.35
15-April-2021,6800.00,6825.00,6551.45,6652.00,6642.479708845685537284,74737,9960,496439006.00,23302,31.18,273.55,-148.00
13-April-2021,6525.00,6842.10,6470.90,6818.45,6740.998459495351925630,37650,5606,253798592.00,7073,18.79,371.20,293.45
12-April-2021,6751.00,6751.00,6504.00,6518.65,6565.266623234700739744,95168,17928,624803294.00,63898,67.14,247.00,-232.35
9-April-2021,6830.00,6875.00,6782.00,6830.05,6831.545392564184510493,46935,5323,320638583.00,32912,70.12,93.00,0.05
8-April-2021,6868.00,6938.00,6812.00,6826.55,6869.519168242900765246,80889,2627,555668536.00,66139,81.77,126.00,-41.45
7-April-2021,6761.80,6885.05,6761.80,6864.90,6848.729174191429978657,30455,4825,208578047.00,10481,34.41,123.25,103.10
6-April-2021,6825.00,6846.80,6721.15,6751.95,6789.887078651685393258,19580,3460,132945989.00,4496,22.96,125.65,-73.05
5-April-2021,6922.60,6922.60,6726.80,6768.35,6795.385566723794524989,21589,3566,146705579.00,6324,29.29,195.80,-154.25
1-April-2021,6885.00,6990.00,6851.75,6922.60,6928.863814030034972227,29166,4693,202087242.00,8123,27.85,138.25,37.60
31-March-2021,6879.00,6939.30,6795.70,6859.75,6878.423023909240311721,37726,5927,259495387.00,11220,29.74,143.60,-19.25
30-March-2021,6781.00,6873.35,6735.60,6852.60,6807.118408965643946353,43544,7613,296409164.00,10759,24.71,137.75,71.60
26-March-2021,6890.00,6896.95,6771.00,6785.25,6806.226742470969991150,37289,5574,253797389.00,16570,44.44,125.95,-104.75
25-March-2021,7059.50,7059.50,6755.00,6786.15,6846.292139666147790981,79017,15319,540973466.00,25058,31.71,304.50,-273.35
24-March-2021,7149.00,7158.10,7050.00,7067.30,7093.033359982556871865,13759,2030,97593046.00,4354,31.64,108.10,-81.70
23-March-2021,7130.00,7223.00,7130.00,7185.25,7192.112388399369784676,34274,5916,246502460.00,11763,34.32,93.00,55.25
22-March-2021,7111.95,7140.15,7053.55,7103.20,7093.693643120744321430,19239,2958,136475572.00,3114,16.19,86.60,-8.75
19-March-2021,7031.00,7148.90,6906.05,7111.95,7012.740515899975892524,45629,8230,319984337.00,9499,20.82,242.85,80.95
18-March-2021,7130.00,7240.00,7063.15,7114.15,7170.016952894995093228,40760,5309,292249891.00,5552,13.62,176.85,-15.85
17-March-2021,7157.00,7162.00,7044.35,7063.15,7102.549009105516871987,24271,4293,172385967.00,7032,28.97,117.65,-93.85
16-March-2021,7118.00,7199.95,7101.00,7155.10,7155.448247165296993654,28839,2725,206355972.00,4415,15.31,98.95,37.10
15-March-2021,7125.00,7157.00,7009.50,7087.05,7070.661856623188697067,49757,6603,351814922.00,10957,22.02,147.50,-37.95
12-March-2021,7274.55,7305.00,7060.75,7099.85,7151.569938670979916430,59352,9436,424459979.00,14292,24.08,244.25,-174.70
10-March-2021,7314.00,7387.00,7256.00,7274.55,7323.836282972464676664,20737,3156,151874393.00,4834,23.31,131.00,-39.45
9-March-2021,7317.00,7326.05,7255.45,7301.40,7290.358564715933361811,35115,6055,256000941.00,15221,43.35,70.60,-15.60
8-March-2021,7299.00,7336.20,7217.00,7260.00,7278.076721229538922903,24009,3522,174739344.00,4471,18.62,119.20,-39.00
5-March-2021,7090.10,7315.15,7080.00,7247.80,7234.995908374797402214,88229,14426,638336454.00,36275,41.11,235.15,157.70
4-March-2021,7120.00,7173.85,7016.90,7133.45,7087.373173415799518018,71787,5410,508781258.00,43117,60.06,156.95,13.45
3-March-2021,7240.00,7264.70,7100.00,7124.30,7133.785822140983867122,50332,8589,359057708.00,14747,29.30,164.70,-115.70
2-March-2021,7052.00,7230.00,7031.05,7215.25,7130.098706436985368736,77847,11169,555056794.00,34854,44.77,198.95,163.25
1-March-2021,6950.00,7032.85,6920.00,7017.00,6989.755555264570702772,76369,11087,533800642.00,20772,27.20,112.85,67.00
26-February-2021,6900.00,7074.05,6824.00,6872.65,6943.023818550815138607,89678,14505,622636490.00,23255,25.93,250.05,-27.35
25-February-2021,7094.00,7094.00,6912.85,6927.10,6964.338388182957701477,122061,7260,850074108.00,90705,74.31,181.15,-166.90
24-February-2021,6965.00,7035.45,6301.20,6941.20,6935.722006614294805587,191706,23752,1329619523.00,87766,45.78,734.25,-23.80
23-February-2021,7147.15,7147.15,6934.55,6969.45,7001.677350869925434962,57936,12203,405649179.00,23203,40.05,212.60,-177.70
22-February-2021,7321.00,7321.00,7058.00,7087.15,7149.556935598553728385,66101,14917,472592863.00,22808,34.50,263.00,-233.85
19-February-2021,7495.90,7496.00,7285.00,7328.95,7388.321192896339345666,43189,6162,319094204.00,11170,25.86,211.00,-166.95
18-February-2021,7604.00,7604.00,7462.95,7495.90,7519.814217603257084694,18667,2838,140372372.00,3837,20.55,141.05,-108.10
17-February-2021,7707.00,7707.00,7474.00,7503.05,7566.744927536231884057,35535,4975,268884281.00,17912,50.41,233.00,-203.95
16-February-2021,7661.40,7797.00,7621.65,7691.85,7726.349501382306477093,40512,4940,313009871.00,6073,14.99,175.35,30.45
15-February-2021,7600.00,7650.00,7578.55,7596.25,7607.235498986828774062,31584,3089,240266926.00,7486,23.70,71.45,-3.75
12-February-2021,7668.00,7674.45,7528.35,7567.90,7601.894544052438789280,25935,4470,197155135.00,6101,23.52,146.10,-100.10
11-February-2021,7614.95,7729.00,7570.25,7667.50,7676.343004144633414320,41982,7780,322268232.00,16175,38.53,158.75,52.55
10-February-2021,7624.00,7670.00,7508.60,7623.80,7586.936228586723768736,29888,4478,226758350.00,3334,11.15,161.40,-0.20
9-February-2021,7575.75,7677.20,7575.00,7626.90,7637.271356101096113778,22078,3286,168615677.00,3760,17.03,102.20,51.15
8-February-2021,7560.00,7635.00,7480.00,7574.20,7586.504156443781897988,96597,8980,732833542.00,13615,14.09,155.00,14.20
5-February-2021,7730.00,7735.00,7462.00,7494.50,7546.720643258914190846,40357,6477,304563005.00,9489,23.51,273.00,-235.50
4-February-2021,7600.55,7764.95,7540.00,7639.90,7631.206659789087574507,87240,5299,665746469.00,52072,59.69,224.95,39.35
3-February-2021,7741.00,7741.00,7476.65,7587.55,7602.214133306238569396,98420,11472,748209915.00,12053,12.25,264.35,-153.45
2-February-2021,7474.00,7766.60,7474.00,7655.60,7651.763014660697041524,91128,14134,697289860.00,20759,22.78,292.60,181.60
1-February-2021,7250.00,7473.90,7155.00,7399.95,7300.994264320755412932,108444,16396,791749022.00,17640,16.27,318.90,149.95
29-January-2021,7750.00,7750.00,7170.55,7207.95,7382.434135720333857505,99204,16175,732366996.00,21230,21.40,579.45,-542.05
28-January-2021,7860.00,7977.00,7557.85,7586.25,7808.121241209956468355,223975,21088,1748823955.00,63537,28.37,419.15,-273.75
27-January-2021,8050.00,8089.00,7825.00,7866.05,7991.658795557437383968,61406,8279,490735800.00,6923,11.27,264.00,-183.95
25-January-2021,8100.00,8160.95,7955.40,7982.95,8075.990228228825068733,30189,5352,243806069.00,4011,13.29,205.55,-117.05
22-January-2021,8050.00,8310.55,8001.70,8045.10,8168.761786188579017264,60240,7927,492086210.00,6259,10.39,308.85,-4.90
21-January-2021,8200.00,8268.05,8023.15,8073.00,8191.055247696621711844,29956,4833,245371251.00,5812,19.40,244.90,-127.00
20-January-2021,7960.00,8170.00,7863.40,8142.55,8059.000071961860214086,55585,9063,447959519.00,13504,24.29,306.60,182.55
19-January-2021,7875.00,7990.00,7835.25,7924.60,7919.398839986352780620,23448,3830,185694064.00,2139,9.12,154.75,49.60
18-January-2021,8021.20,8031.20,7744.25,7814.40,7843.421560259474223284,23432,4365,183787054.00,4113,17.55,286.95,-206.80
15-January-2021,8150.00,8219.75,8000.00,8021.20,8077.903381203417560443,22004,3632,177746186.00,4075,18.52,219.75,-128.80
14-January-2021,8170.00,8180.60,8025.70,8147.75,8128.927541666666666666,72000,4050,585282783.00,46820,65.03,154.90,-22.25
13-January-2021,8178.35,8400.00,8110.15,8137.40,8179.645715827161704840,40778,5813,333549593.00,6287,15.42,289.85,-40.95
12-January-2021,8200.00,8329.00,8129.85,8183.80,8224.514015323629412594,63823,10355,524913158.00,10689,16.75,199.15,-16.20
11-January-2021,8080.00,8289.95,7880.00,8236.05,8129.519554825339949306,121121,16563,984655538.00,26184,21.62,409.95,156.05
8-January-2021,7600.00,8055.00,7600.00,8015.95,7896.848052971344051091,144682,23909,1142531770.00,58866,40.69,455.00,415.95
7-January-2021,7661.15,7705.00,7553.55,7566.75,7622.591611180586068205,29587,5028,225529618.00,5040,17.03,151.45,-94.40
6-January-2021,7655.00,7749.65,7557.25,7633.35,7673.672007831418414137,19409,3181,148938300.00,3179,16.38,192.40,-21.65
5-January-2021,7690.00,7690.00,7590.00,7651.30,7640.404555617663499161,21468,2669,164024205.00,4939,23.01,100.00,-38.70
4-January-2021,7730.00,7751.00,7643.60,7699.50,7700.382046878157203475,39592,8670,304873526.00,16562,41.83,107.40,-30.50
1-January-2021,7653.00,7747.90,7652.00,7691.60,7705.806664362651920972,34722,5535,267561019.00,9888,28.48,95.90,38.60
31-December-2020,7630.00,7695.00,7582.00,7649.70,7644.334196707351688901,28184,3695,215447915.00,5673,20.13,113.00,19.70
30-December-2020,7500.00,7630.00,7430.00,7611.15,7545.288637407608468701,47894,7342,361374054.00,16431,34.31,200.00,111.15
29-December-2020,7506.05,7543.20,7420.00,7453.95,7473.362427039500475091,14734,2308,110112522.00,3080,20.90,123.20,-52.10
28-December-2020,7470.00,7540.00,7455.00,7480.30,7488.469758064516129032,29760,4080,222856860.00,10723,36.03,85.00,10.30
24-December-2020,7532.90,7532.90,7419.00,7447.05,7464.036184847897694245,20644,3146,154087563.00,7844,38.00,113.90,-85.85
23-December-2020,7390.00,7550.00,7380.00,7448.90,7471.307689416716776909,26608,4530,198796555.00,8307,31.22,170.00,58.90
22-December-2020,7360.00,7438.15,7201.40,7394.50,7259.766786343080056616,115868,5768,841174658.00,90602,78.19,236.75,34.50
21-December-2020,7565.00,7597.30,7280.00,7364.00,7495.009807219104604436,56489,9104,423385609.00,11538,20.43,317.30,-201.00
18-December-2020,7710.00,7726.70,7545.00,7559.80,7605.167468499427262313,43650,4884,331965560.00,10441,23.92,181.70,-150.20
17-December-2020,7813.00,7829.35,7631.55,7686.20,7742.040731292517006802,23520,4165,182092798.00,6557,27.88,197.80,-126.80
16-December-2020,7800.00,7899.00,7766.90,7800.80,7831.737851444504685926,64555,7658,505577837.00,14241,22.06,132.10,0.80
15-December-2020,7712.00,7788.00,7653.60,7767.75,7715.359002498423891470,42827,4234,330425680.00,9467,22.11,134.40,55.75
14-December-2020,7835.00,7835.00,7655.30,7693.60,7718.280522583628796053,25948,4354,200273943.00,6428,24.77,179.70,-141.40
11-December-2020,7755.25,7798.85,7698.00,7732.25,7738.877784850413749204,15710,2759,121577770.00,3093,19.69,100.85,-23.00
10-December-2020,7750.00,7852.15,7710.60,7734.30,7768.957555264812329023,58853,6873,457226459.00,17165,29.17,141.55,-15.70
9-December-2020,7799.80,7799.80,7698.00,7707.75,7729.962072948101784583,26841,4466,207479912.00,8774,32.69,101.80,-92.05
8-December-2020,7710.00,8006.95,7701.00,7762.25,7831.204003527630330964,60097,9811,470631867.00,6975,11.61,305.95,52.25
7-December-2020,7805.35,7831.90,7689.80,7740.15,7769.189949055808786915,26107,4827,202830242.00,4676,17.91,142.10,-65.20
4-December-2020,7797.00,7881.00,7639.00,7801.95,7786.954069788206721668,83997,15078,654080781.00,18845,22.44,242.00,4.95
3-December-2020,7240.00,7777.00,7240.00,7740.15,7450.265082347935539915,225628,23802,1680988410.00,133480,59.16,537.00,500.15
2-December-2020,7125.00,7222.00,7119.40,7203.35,7183.430359882828846422,28676,4441,205992049.00,6292,21.94,102.60,78.35
1-December-2020,7105.00,7120.95,6981.10,7099.10,7066.836589217234378524,22165,3937,156636433.00,6128,27.65,139.85,-5.90
