Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,106.00,106.00,104.65,105.55,105.286279902053117347,530900,4727,55896486.00,192273,36.22,1.35,-0.45
25-August-2021,106.35,106.90,105.40,106.10,106.212164635444007774,422898,2496,44916912.00,80674,19.08,1.50,-0.25
24-August-2021,104.00,106.20,103.90,105.85,105.279700216866863865,1033814,6161,108839628.00,368918,35.69,2.30,1.85
23-August-2021,103.75,104.50,102.15,103.00,103.190694339268601604,746105,6062,76991093.00,298166,39.96,2.35,-0.75
20-August-2021,105.80,105.80,103.10,103.55,103.971569505566459615,618526,4722,64309119.00,210898,34.10,2.70,-2.25
18-August-2021,105.75,106.50,104.70,106.10,105.769161661614086194,2051427,8431,216977714.00,393135,19.16,1.80,0.35
17-August-2021,107.50,108.25,104.70,105.70,106.396687504206861110,935971,5766,99584214.00,211253,22.57,3.55,-1.80
16-August-2021,104.95,107.45,104.25,107.15,105.479346147317415332,5614231,9712,592185415.00,796355,14.18,3.20,2.20
13-August-2021,104.40,105.00,103.70,104.60,104.488427033316205697,507951,3980,53075001.00,220889,43.49,1.30,0.20
12-August-2021,104.55,105.50,103.80,104.10,104.736818165172625804,518839,2909,54341546.00,185284,35.71,1.70,-0.45
11-August-2021,103.00,104.90,102.30,104.55,103.249704543416357151,1126223,6163,116282192.00,341860,30.35,2.60,1.55
10-August-2021,104.90,104.90,101.90,102.30,103.375552999526230928,774639,7472,80078735.00,320796,41.41,3.00,-2.60
9-August-2021,106.50,106.50,103.95,104.45,105.267555953142604786,706484,7257,74369844.00,277441,39.27,2.55,-2.05
6-August-2021,104.35,106.25,103.95,105.90,105.690042608980662078,839025,6232,88676588.00,339192,40.43,2.30,1.55
5-August-2021,104.80,104.80,102.60,103.95,103.490837064241385663,917337,8514,94935974.00,270992,29.54,2.20,-0.85
4-August-2021,106.35,107.50,104.90,105.30,106.296218477978287568,892392,9338,94857895.00,450437,50.48,2.60,-1.05
3-August-2021,106.40,106.50,105.40,106.15,106.117683656877558596,573801,4533,60890433.00,242096,42.19,1.10,-0.25
2-August-2021,104.95,105.80,103.60,105.50,105.075255998830515199,1149224,8985,120755006.00,511535,44.51,2.20,0.55
30-July-2021,104.50,106.25,102.85,103.20,104.125338777940642703,1793579,10553,186757021.00,436547,24.34,3.40,-1.30
29-July-2021,104.50,104.50,103.20,103.90,103.769430565872620149,393092,2717,40790933.00,118229,30.08,1.30,-0.60
28-July-2021,104.30,104.65,103.10,104.00,103.882507590225748004,326736,2540,33942155.00,93274,28.55,1.55,-0.30
