Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,1736.00,1746.00,1720.00,1726.95,1734.406957220555946213,139366,9056,241717360.00,58636,42.07,26.00,-9.05
25-August-2021,1715.20,1746.35,1715.20,1737.20,1732.157036393409751696,119692,7276,207325340.00,45347,37.89,31.15,22.00
24-August-2021,1748.00,1755.60,1712.50,1720.75,1729.956883137434175245,227498,15499,393561731.00,116552,51.23,43.10,-27.25
23-August-2021,1733.05,1752.80,1731.75,1739.20,1741.694145880497372410,147093,8332,256191017.00,58389,39.70,21.05,6.15
20-August-2021,1724.95,1745.00,1719.50,1732.15,1734.788022184096077883,125315,8924,217394961.00,46641,37.22,25.50,7.20
18-August-2021,1735.00,1755.00,1727.00,1733.35,1739.923385902872050994,179001,11870,311448026.00,68256,38.13,28.00,-1.65
17-August-2021,1704.40,1748.45,1687.90,1741.45,1728.720994581641640988,337187,18846,582902246.00,163378,48.45,60.55,37.05
16-August-2021,1711.60,1720.00,1690.30,1704.75,1704.864292438029494822,191220,13533,326004150.00,83060,43.44,29.70,-6.85
13-August-2021,1699.00,1722.00,1691.45,1712.50,1708.341611267150275818,247445,15270,422720590.00,133687,54.03,30.55,13.50
12-August-2021,1678.00,1696.20,1674.55,1690.50,1688.070261004621562239,105592,6242,178246715.00,45589,43.17,21.65,12.50
11-August-2021,1676.35,1684.00,1668.30,1677.45,1675.545206310679611650,95584,6977,160155313.00,44373,46.42,15.70,1.10
10-August-2021,1670.00,1680.00,1661.80,1676.35,1673.860247132007641705,106259,7093,177862716.00,58074,54.65,18.20,6.35
9-August-2021,1656.40,1667.40,1646.50,1663.00,1650.530912964192747637,4505456,9319,7436394405.00,4432612,98.38,20.90,6.60
6-August-2021,1660.10,1660.75,1644.10,1650.35,1652.682862333659910017,105131,9625,173748202.00,53402,50.80,16.65,-9.75
5-August-2021,1651.00,1666.25,1647.05,1654.85,1656.221070406679487780,106595,8470,176544885.00,57028,53.50,19.20,3.85
4-August-2021,1665.20,1680.00,1639.35,1649.15,1652.129098208422109895,336519,9658,555972832.00,272048,80.84,40.65,-16.05
3-August-2021,1641.00,1658.70,1636.40,1654.10,1645.695957423663004276,119503,7332,196665604.00,55763,46.66,22.30,13.10
2-August-2021,1620.00,1634.90,1620.00,1631.35,1627.489440738996338443,131638,8548,214239455.00,76819,58.36,14.90,11.35
30-July-2021,1616.85,1623.45,1606.10,1610.25,1613.404545967287084038,88650,4810,143028313.00,44976,50.73,17.35,-6.60
29-July-2021,1610.00,1620.00,1605.35,1616.85,1614.703383811120265931,105591,6864,170498145.00,56994,53.98,14.65,6.85
28-July-2021,1604.30,1607.40,1585.70,1605.30,1595.546675597070947267,222461,12087,354946909.00,87349,39.26,21.70,1.00
27-July-2021,1605.00,1608.90,1598.10,1602.60,1602.822849140416579536,157809,10337,252939871.00,84004,53.23,10.80,-2.40
26-July-2021,1590.45,1611.80,1590.45,1604.05,1606.245506533296117670,154057,9233,247453364.00,78799,51.15,21.35,13.60
23-July-2021,1590.00,1598.70,1586.10,1590.35,1589.907794263275691331,698796,8913,1111021207.00,548177,78.45,12.60,0.35
22-July-2021,1556.00,1593.10,1556.00,1590.20,1583.952393422739238901,435318,9239,689522988.00,326017,74.89,37.10,34.20
20-July-2021,1538.00,1557.50,1538.00,1549.70,1545.787826819992406643,310798,14204,480427765.00,149863,48.22,19.50,11.70
19-July-2021,1551.00,1553.30,1537.40,1541.80,1553.829050575752117177,1632126,15792,2536044793.00,1540307,94.37,15.90,-9.20
16-July-2021,1580.00,1580.00,1550.00,1555.00,1559.491620009178522257,272375,12643,424766530.00,137098,50.33,30.00,-25.00
15-July-2021,1554.00,1597.25,1551.25,1580.30,1581.945296351348212834,344456,14762,544910549.00,127357,36.97,46.00,26.30
14-July-2021,1550.40,1582.40,1538.25,1576.90,1561.617276749356166494,181724,7258,283783338.00,46474,25.57,44.15,26.50
13-July-2021,1559.00,1559.00,1536.00,1544.90,1542.608562869365536374,171578,11597,264677692.00,78757,45.90,23.00,-14.10
12-July-2021,1572.00,1577.60,1535.00,1547.95,1562.018625885658667860,1617158,8198,2526030917.00,1509504,93.34,42.60,-24.05
9-July-2021,1557.00,1569.85,1550.00,1562.75,1556.593484932008910264,665749,3789,1036300556.00,580200,87.15,19.85,5.75
8-July-2021,1569.00,1576.00,1549.15,1560.50,1559.593137641446201159,101452,4272,158223843.00,31037,30.59,26.85,-8.50
7-July-2021,1568.00,1570.70,1544.65,1563.80,1559.910179035031525000,266931,18065,416388384.00,131134,49.13,26.05,-4.20
6-July-2021,1575.90,1586.70,1557.00,1562.50,1575.113055233127457021,209349,13745,329748343.00,85586,40.88,29.70,-13.40
5-July-2021,1571.75,1585.00,1563.10,1579.10,1573.782098417095595569,175437,8110,276099610.00,103693,59.11,21.90,7.35
2-July-2021,1562.50,1569.65,1542.30,1567.40,1554.201702814760488073,338146,19731,525547089.00,149712,44.27,27.35,4.90
1-July-2021,1582.00,1582.00,1559.35,1560.45,1565.122780522380882840,280753,18220,439412916.00,124508,44.35,22.65,-21.55
30-June-2021,1562.60,1590.85,1562.60,1581.25,1583.431078086752746551,172398,8875,272980351.00,65985,38.27,28.25,18.65
29-June-2021,1564.85,1573.75,1559.25,1562.60,1564.649763453577764636,121752,8355,190499238.00,60602,49.77,14.50,-2.25
28-June-2021,1572.00,1580.00,1559.50,1571.55,1570.489806235672509522,229454,16107,360355168.00,113270,49.36,20.50,-0.45
25-June-2021,1570.00,1578.20,1543.75,1574.45,1565.055530103666137504,281577,15098,440683641.00,111044,39.44,34.45,4.45
24-June-2021,1516.00,1568.35,1511.90,1559.15,1543.531866283774135715,441203,18504,681010890.00,117099,26.54,56.45,43.15
23-June-2021,1523.00,1524.95,1498.60,1502.85,1511.341269702035302638,1596028,7531,2412142984.00,1492600,93.52,26.35,-20.15
22-June-2021,1510.00,1520.65,1501.00,1511.70,1510.116604702443527089,390010,14889,588960577.00,274906,70.49,19.65,1.70
21-June-2021,1489.00,1505.70,1484.10,1500.35,1497.266675782385013759,292535,13826,438002907.00,155696,53.22,21.60,11.35
18-June-2021,1506.30,1515.95,1486.55,1504.50,1501.058122248475664495,556964,24704,836035336.00,300645,53.98,29.40,-1.80
