Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,26102.00,26643.20,26102.00,26581.30,26413.050828729281767955,905,391,23903811.00,291,32.15,541.20,479.30
25-August-2021,26000.00,26460.60,26000.00,26267.90,26309.642607683352735739,859,440,22599983.00,200,23.28,460.60,267.90
24-August-2021,26098.00,26350.00,25787.90,26239.90,26146.515243902439024390,1640,645,42880285.00,750,45.73,562.10,141.90
23-August-2021,26300.00,26466.00,25832.10,25998.40,26070.122356495468277945,662,375,17258421.00,119,17.98,633.90,-301.60
20-August-2021,26316.00,26356.25,25900.05,26272.15,26161.781721384205856255,1127,558,29484328.00,162,14.37,456.20,-43.85
18-August-2021,26337.95,26558.35,26005.00,26316.50,26037.678110921236600901,19311,768,502813602.00,18237,94.44,553.35,-21.45
17-August-2021,25940.00,26248.90,25750.05,26168.20,26007.611958511287370347,1639,815,42626476.00,574,35.02,498.85,228.20
16-August-2021,26780.00,26780.00,25957.25,26000.20,26161.261878853826623141,2757,1256,72126599.00,843,30.58,822.75,-779.80
13-August-2021,26895.00,27048.60,26517.30,26608.80,26800.812072184194150591,1607,848,43068905.00,454,28.25,531.30,-286.20
12-August-2021,26795.00,27077.70,26510.65,26599.45,26755.549982462293931953,2851,1260,76280073.00,965,33.85,567.05,-195.55
11-August-2021,27155.00,27443.80,26378.95,26553.70,26662.649184662847069193,2269,1300,60497551.00,894,39.40,1064.85,-601.30
10-August-2021,28427.60,28427.60,27036.85,27133.00,27317.947534612581977167,4117,2193,112467990.00,1171,28.44,1390.75,-1294.60
9-August-2021,28650.00,28749.00,28101.00,28286.75,28433.190317195325542570,1198,678,34062962.00,286,23.87,648.00,-363.25
6-August-2021,28954.55,28962.90,28349.35,28413.50,28571.398994132439228834,1193,465,34085679.00,559,46.86,613.55,-541.05
