Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,309.90,311.40,305.15,307.65,308.097012138742028023,337432,5736,103961791.00,54793,16.24,6.25,-2.25
25-August-2021,315.20,317.55,303.00,307.65,309.660810116717734365,282305,5064,87418795.00,59040,20.91,14.55,-7.55
24-August-2021,308.25,316.35,306.25,315.20,311.661108639759935460,265262,4221,82671849.00,47456,17.89,10.10,6.95
23-August-2021,314.00,316.15,304.15,306.60,309.239056281978396816,253296,4299,78329016.00,53708,21.20,12.00,-7.40
20-August-2021,324.05,325.30,306.50,309.10,315.628400650463675119,386801,6952,122085381.00,79111,20.45,18.80,-14.95
18-August-2021,327.00,332.85,324.30,327.25,328.097324220170144695,247554,2988,81221805.00,27951,11.29,8.55,0.25
17-August-2021,329.15,332.95,320.85,325.30,326.765948004191886983,268137,4727,87618041.00,48609,18.13,12.10,-3.85
16-August-2021,333.50,338.05,328.30,329.75,332.410488203025643945,210732,2826,70049527.00,40396,19.17,9.75,-3.75
13-August-2021,335.70,338.55,329.50,332.50,333.211351359380492852,201967,2960,67297697.00,22838,11.31,9.05,-3.20
12-August-2021,332.50,338.10,329.30,334.00,334.013903529787573869,250440,4151,83650442.00,34026,13.59,8.80,1.50
11-August-2021,334.50,336.00,323.05,331.65,328.874768596488864337,371105,6155,122047071.00,99313,26.76,12.95,-2.85
10-August-2021,343.20,345.75,330.15,334.50,337.670272238735457963,304806,3728,102923925.00,34950,11.47,15.60,-8.70
9-August-2021,345.90,349.50,339.00,342.20,344.540221686279998707,371516,5531,128002205.00,54461,14.66,10.50,-3.70
6-August-2021,350.00,353.25,340.95,342.95,347.449024106609674073,318170,4501,110547856.00,66313,20.84,12.30,-7.05
5-August-2021,350.35,353.75,345.65,351.50,350.112016171082048241,700015,6729,245083663.00,84116,12.02,8.10,1.15
4-August-2021,355.05,359.10,346.45,350.65,353.205292288198191396,675549,8765,238607482.00,141841,21.00,12.65,-4.40
3-August-2021,354.80,356.85,350.60,355.30,354.875266532663434685,1701949,6976,603979605.00,1194106,70.16,6.25,0.50
2-August-2021,340.50,354.75,337.90,351.80,349.408816561114024277,1203349,17389,420460750.00,337416,28.04,16.85,11.30
30-July-2021,339.90,344.55,336.30,337.75,340.325927343586888440,459808,6367,156484584.00,145195,31.58,8.25,-2.15
29-July-2021,337.95,341.65,332.20,340.10,336.868427365664168674,454365,5543,153061223.00,68886,15.16,9.45,2.15
28-July-2021,339.50,339.50,326.45,331.90,331.984336209475905904,618305,6984,205267575.00,66989,10.83,13.05,-7.60
27-July-2021,339.50,344.50,328.65,336.95,338.682866551602300948,1573612,20290,532955423.00,279710,17.78,15.85,-2.55
26-July-2021,335.80,341.00,332.45,334.00,335.709554376251667210,1240845,6372,416563522.00,80941,6.52,8.55,-1.80
23-July-2021,330.95,335.10,325.05,333.95,330.859595100562176251,452705,5468,149781793.00,62988,13.91,10.05,3.00
22-July-2021,325.00,334.60,325.00,330.45,330.882833133710490386,525157,7678,173765436.00,143073,27.24,9.60,5.45
20-July-2021,332.30,333.45,321.00,322.65,326.353428437110591500,487117,4920,158972303.00,135719,27.86,12.45,-9.65
19-July-2021,326.60,338.70,324.50,331.25,333.569581771546321461,2839429,15280,947147144.00,321143,11.31,14.20,4.65
16-July-2021,325.30,336.40,321.05,330.90,329.310411845845294298,2127058,13231,700462346.00,1006262,47.31,15.35,5.60
15-July-2021,312.00,323.80,310.40,322.25,317.818337046205350428,565151,5786,179615351.00,138670,24.54,13.40,10.25
14-July-2021,314.50,315.75,310.50,311.80,312.979018376188082529,260609,3473,81565149.00,60449,23.20,5.25,-2.70
13-July-2021,314.00,318.75,311.55,314.05,314.921058740318293425,917581,12694,288965580.00,252364,27.50,7.20,0.05
