Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2021,3171.00,3171.00,3093.00,3140.80,3123.127770211712269406,8077,1202,25225503.00,3167,39.21,78.00,-30.20
25-August-2021,3180.00,3180.00,3091.15,3131.90,3124.435736677115987460,6699,1374,20930595.00,1569,23.42,88.85,-48.10
24-August-2021,3100.00,3153.55,3081.60,3148.45,3116.836096938775510204,6272,816,19548796.00,1711,27.28,71.95,48.45
23-August-2021,3220.00,3220.00,3062.55,3089.05,3110.108116830724544134,12394,2461,38546680.00,4419,35.65,157.45,-130.95
20-August-2021,3180.00,3210.00,3148.35,3183.65,3179.449564873417721518,10112,1899,32150594.00,3551,35.12,61.65,3.65
18-August-2021,3231.00,3234.95,3170.05,3183.90,3191.767884489170859768,4571,733,14589571.00,987,21.59,64.90,-47.10
17-August-2021,3121.00,3222.65,3113.80,3207.85,3174.095956331250448897,13923,2114,44192938.00,5184,37.23,108.85,86.85
16-August-2021,3121.00,3197.00,3112.25,3120.45,3153.029914529914529914,13572,1870,42792922.00,4182,30.81,84.75,-0.55
13-August-2021,3155.00,3188.30,3132.35,3143.45,3162.675323352683572665,9819,1066,31054309.00,1812,18.45,55.95,-11.55
12-August-2021,3099.05,3153.10,3081.95,3120.85,3120.743490390576565406,12904,1736,40270074.00,2492,19.31,71.15,21.80
11-August-2021,3131.75,3131.75,3025.05,3078.95,3047.811763219407416766,79145,2878,241219062.00,63868,80.70,106.70,-52.80
10-August-2021,3153.50,3167.50,3068.00,3103.30,3103.809685379395434916,19452,2629,60375306.00,8868,45.59,99.50,-50.20
9-August-2021,3145.95,3178.00,3122.40,3140.45,3144.961836345268829273,62363,3220,196129255.00,44633,71.57,55.60,-5.50
6-August-2021,3233.00,3233.00,3137.10,3145.95,3155.999854693403080499,20646,2978,65158773.00,6156,29.82,95.90,-87.05
5-August-2021,3175.00,3236.50,3145.00,3230.10,3190.595870647829525295,46787,6799,149278409.00,22954,49.06,91.50,55.10
4-August-2021,3319.80,3319.80,3122.50,3140.30,3208.650793242652541719,38891,5479,124787638.00,9728,25.01,197.30,-179.50
3-August-2021,3286.60,3357.05,3201.70,3334.00,3288.374474768764011759,74491,8963,244954303.00,18929,25.41,155.35,47.40
2-August-2021,2980.00,3355.00,2962.00,3318.90,3173.079566555903049257,81856,8579,259735601.00,10779,13.17,393.00,338.90
30-July-2021,2951.30,3007.10,2920.00,2948.45,2968.668363412000616998,19449,2696,57737631.00,3526,18.13,87.10,-2.85
29-July-2021,2962.05,2992.45,2912.15,2948.95,2942.773299132771466959,8187,1517,24092485.00,3323,40.59,80.30,-13.10
28-July-2021,3011.00,3011.00,2895.05,2962.05,2935.913611806562129397,37945,1435,111403242.00,33031,87.05,115.95,-48.95
27-July-2021,3112.85,3116.30,2981.75,2999.30,3030.345298321689552718,12453,2648,37736890.00,4936,39.64,134.55,-113.55
26-July-2021,3020.00,3166.90,3015.00,3077.85,3108.720430107526881720,12741,2596,39608207.00,2409,18.91,151.90,57.85
23-July-2021,3020.00,3128.00,3014.05,3024.70,3064.876397881106533254,20388,2963,62486700.00,3243,15.91,113.95,4.70
22-July-2021,3120.15,3126.20,2969.50,3001.95,3018.658729148096268941,15706,2385,47411054.00,4999,31.83,156.70,-118.20
